node,operating_date,hour_ending,da_lmp,rt_lmp
SPRNGFLD_1_SOLAR,2025-07-07,16,30.71,30.53
SPRNGFLD_1_SOLAR,2025-07-07,17,53.08,54.22
SPRNGFLD_1_SOLAR,2025-07-07,18,59.69,74.32
SPRNGFLD_1_SOLAR,2025-07-07,19,75.59,63.21
SPRNGFLD_1_SOLAR,2025-07-07,20,70.36,76.55
SPRNGFLD_1_SOLAR,2025-07-07,21,28.24,15.91
SPRNGFLD_1_SOLAR,2025-07-07,22,37.92,41.59
SPRNGFLD_1_SOLAR,2025-07-07,23,28.92,21.85
SPRNGFLD_1_SOLAR,2025-07-07,24,37.78,16.06
BURNS_1_BESS,2025-07-01,1,10.93,0.15
BURNS_1_BESS,2025-07-01,2,22.87,27.53
BURNS_1_BESS,2025-07-01,3,39.75,52.61
BURNS_1_BESS,2025-07-01,4,23.4,23.11
BURNS_1_BESS,2025-07-01,5,14.97,14.69
BURNS_1_BESS,2025-07-01,6,22.11,26.95
BURNS_1_BESS,2025-07-01,7,32.59,40.38
BURNS_1_BESS,2025-07-01,8,67.99,66.36
BURNS_1_BESS,2025-07-01,9,51.03,61.38
BURNS_1_BESS,2025-07-01,10,38.98,42.34
BURNS_1_BESS,2025-07-01,11,15.31,16.78
BURNS_1_BESS,2025-07-01,12,-4.33,-3.96
BURNS_1_BESS,2025-07-01,13,27.45,49.22
BURNS_1_BESS,2025-07-01,14,38.98,71.28
BURNS_1_BESS,2025-07-01,15,-4.18,8.9
BURNS_1_BESS,2025-07-01,16,19.58,52.43
BURNS_1_BESS,2025-07-01,17,55.75,43.15
BURNS_1_BESS,2025-07-01,18,62.02,30.16
BURNS_1_BESS,2025-07-01,19,64.23,52.84
BURNS_1_BESS,2025-07-01,20,84.51,89.64
BURNS_1_BESS,2025-07-01,21,57.51,71.77
BURNS_1_BESS,2025-07-01,22,28.08,14.6
BURNS_1_BESS,2025-07-01,23,40.9,21.1
BURNS_1_BESS,2025-07-01,24,56.98,74.67
BURNS_1_BESS,2025-07-02,1,20.31,-5.39
BURNS_1_BESS,2025-07-02,2,38.54,36.82
BURNS_1_BESS,2025-07-02,3,37.38,13.46
BURNS_1_BESS,2025-07-02,4,19.01,19.09
BURNS_1_BESS,2025-07-02,5,25.47,18.72
BURNS_1_BESS,2025-07-02,6,31.23,15.22
BURNS_1_BESS,2025-07-02,7,42.86,44.66
BURNS_1_BESS,2025-07-02,8,52.72,63.39
BURNS_1_BESS,2025-07-02,9,28.13,5.12
BURNS_1_BESS,2025-07-02,10,64.17,69.15
BURNS_1_BESS,2025-07-02,11,-3.71,19.56
BURNS_1_BESS,2025-07-02,12,17.89,35.58
BURNS_1_BESS,2025-07-02,13,16.69,47.6
BURNS_1_BESS,2025-07-02,14,58.88,55.15
BURNS_1_BESS,2025-07-02,15,39.29,48.97
BURNS_1_BESS,2025-07-02,16,49.22,34.75
BURNS_1_BESS,2025-07-02,17,100.58,116.46
BURNS_1_BESS,2025-07-02,18,27.24,9.49
BURNS_1_BESS,2025-07-02,19,18.82,14.78
BURNS_1_BESS,2025-07-02,20,101.53,124.07
BURNS_1_BESS,2025-07-02,21,35.89,60.32
BURNS_1_BESS,2025-07-02,22,18.44,-7.11
BURNS_1_BESS,2025-07-02,23,34.33,40.09
BURNS_1_BESS,2025-07-02,24,34.61,3.6
BURNS_1_BESS,2025-07-03,1,24.11,4.54
BURNS_1_BESS,2025-07-03,2,31.7,37.2
BURNS_1_BESS,2025-07-03,3,15.6,7.89
BURNS_1_BESS,2025-07-03,4,14.41,13.47
BURNS_1_BESS,2025-07-03,5,34.55,19.76
BURNS_1_BESS,2025-07-03,6,30.04,22.09
BURNS_1_BESS,2025-07-03,7,33.11,31.5
BURNS_1_BESS,2025-07-03,8,29.47,21.17
BURNS_1_BESS,2025-07-03,9,27.03,56.5
BURNS_1_BESS,2025-07-03,10,45.53,35.03
BURNS_1_BESS,2025-07-03,11,-42.25,-45.56
BURNS_1_BESS,2025-07-03,12,-24.85,-32.81
BURNS_1_BESS,2025-07-03,13,-45.5,-80.03
BURNS_1_BESS,2025-07-03,14,-12.66,12.01
BURNS_1_BESS,2025-07-03,15,-28.47,-23.8
BURNS_1_BESS,2025-07-03,16,91.97,108.76
BURNS_1_BESS,2025-07-03,17,76.16,61.83
BURNS_1_BESS,2025-07-03,18,31.81,34.86
BURNS_1_BESS,2025-07-03,19,57.31,35.98
BURNS_1_BESS,2025-07-03,20,60.6,44.38
BURNS_1_BESS,2025-07-03,21,55.25,68.47
BURNS_1_BESS,2025-07-03,22,34.9,57.1
BURNS_1_BESS,2025-07-03,23,35.93,23.01
BURNS_1_BESS,2025-07-03,24,53.28,61.36
BURNS_1_BESS,2025-07-04,1,14.63,11.77
BURNS_1_BESS,2025-07-04,2,16.24,-4.5
BURNS_1_BESS,2025-07-04,3,34.26,62.9
BURNS_1_BESS,2025-07-04,4,11.01,19.45
BURNS_1_BESS,2025-07-04,5,18.49,11.18
BURNS_1_BESS,2025-07-04,6,19.08,6.12
BURNS_1_BESS,2025-07-04,7,45.73,33.27
BURNS_1_BESS,2025-07-04,8,49.06,48.31
BURNS_1_BESS,2025-07-04,9,41.42,27.81
BURNS_1_BESS,2025-07-04,10,36.35,47.68
BURNS_1_BESS,2025-07-04,11,27.52,12.86
BURNS_1_BESS,2025-07-04,12,17.48,28.75
BURNS_1_BESS,2025-07-04,13,-26.74,-18.59
BURNS_1_BESS,2025-07-04,14,-1.57,6.99
BURNS_1_BESS,2025-07-04,15,-4.08,-31.15
BURNS_1_BESS,2025-07-04,16,-25.69,-24.97
BURNS_1_BESS,2025-07-04,17,87.79,74.23
BURNS_1_BESS,2025-07-04,18,99.16,74.24
BURNS_1_BESS,2025-07-04,19,78.02,59.85
BURNS_1_BESS,2025-07-04,20,60.44,61.15
BURNS_1_BESS,2025-07-04,21,24.68,18.91
BURNS_1_BESS,2025-07-04,22,47.08,38.43
BURNS_1_BESS,2025-07-04,23,45.03,28.08
BURNS_1_BESS,2025-07-04,24,41.36,62.98
BURNS_1_BESS,2025-07-05,1,0.2,-11.75
BURNS_1_BESS,2025-07-05,2,21.54,18.49
BURNS_1_BESS,2025-07-05,3,20.1,11.04
BURNS_1_BESS,2025-07-05,4,18.11,15.77
BURNS_1_BESS,2025-07-05,5,25.67,29.49
BURNS_1_BESS,2025-07-05,6,19.86,13.68
BURNS_1_BESS,2025-07-05,7,26.38,19.89
BURNS_1_BESS,2025-07-05,8,35.64,29.33
BURNS_1_BESS,2025-07-05,9,34.54,65.67
BURNS_1_BESS,2025-07-05,10,40.65,35.76
BURNS_1_BESS,2025-07-05,11,31.52,25.4
BURNS_1_BESS,2025-07-05,12,-25.17,-40.29
BURNS_1_BESS,2025-07-05,13,-22.24,-27.51
BURNS_1_BESS,2025-07-05,14,10.82,35.97
BURNS_1_BESS,2025-07-05,15,16.22,12.93
BURNS_1_BESS,2025-07-05,16,25.01,-8.16
BURNS_1_BESS,2025-07-05,17,60.95,72.51
BURNS_1_BESS,2025-07-05,18,24.95,42.11
BURNS_1_BESS,2025-07-05,19,329.24,338.73
BURNS_1_BESS,2025-07-05,20,103.68,106.41
BURNS_1_BESS,2025-07-05,21,26.59,19.7
BURNS_1_BESS,2025-07-05,22,17.36,29.82
BURNS_1_BESS,2025-07-05,23,17.31,18.38
BURNS_1_BESS,2025-07-05,24,20.49,27.67
BURNS_1_BESS,2025-07-06,1,19.84,35.4
BURNS_1_BESS,2025-07-06,2,13.93,9.88
BURNS_1_BESS,2025-07-06,3,10.65,3.99
BURNS_1_BESS,2025-07-06,4,20.14,31.49
BURNS_1_BESS,2025-07-06,5,11.04,24.08
BURNS_1_BESS,2025-07-06,6,26.99,33.19
BURNS_1_BESS,2025-07-06,7,51.21,39.6
BURNS_1_BESS,2025-07-06,8,18.43,-8.25
BURNS_1_BESS,2025-07-06,9,47.21,57.03
BURNS_1_BESS,2025-07-06,10,30.92,35.12
BURNS_1_BESS,2025-07-06,11,8.92,10.86
BURNS_1_BESS,2025-07-06,12,-25.48,-18.26
BURNS_1_BESS,2025-07-06,13,-55.81,-48.74
BURNS_1_BESS,2025-07-06,14,-13.09,10.81
BURNS_1_BESS,2025-07-06,15,-59.79,-61.68
BURNS_1_BESS,2025-07-06,16,11.48,27.89
BURNS_1_BESS,2025-07-06,17,20.46,43.4
BURNS_1_BESS,2025-07-06,18,52.68,46.28
BURNS_1_BESS,2025-07-06,19,34.75,9.93
BURNS_1_BESS,2025-07-06,20,73.29,74.39
BURNS_1_BESS,2025-07-06,21,13.66,-5.77
BURNS_1_BESS,2025-07-06,22,21.68,46.72
BURNS_1_BESS,2025-07-06,23,22.32,-0.23
BURNS_1_BESS,2025-07-06,24,22.44,18.35
BURNS_1_BESS,2025-07-07,1,-1.97,-2.78
BURNS_1_BESS,2025-07-07,2,22.69,33.13
BURNS_1_BESS,2025-07-07,3,43.49,60.39
BURNS_1_BESS,2025-07-07,4,22.31,5.71
BURNS_1_BESS,2025-07-07,5,50.73,51.62
BURNS_1_BESS,2025-07-07,6,25.14,24.78
BURNS_1_BESS,2025-07-07,7,47.97,45.8
BURNS_1_BESS,2025-07-07,8,36.4,28.2
BURNS_1_BESS,2025-07-07,9,44.51,36.36
BURNS_1_BESS,2025-07-07,10,34.31,35.91
BURNS_1_BESS,2025-07-07,11,8.63,31.19
BURNS_1_BESS,2025-07-07,12,-51.27,-34.9
BURNS_1_BESS,2025-07-07,13,46.15,15.05
BURNS_1_BESS,2025-07-07,14,6.43,0.86
BURNS_1_BESS,2025-07-07,15,-20.19,-31.86
BURNS_1_BESS,2025-07-07,16,-12.76,13.52
BURNS_1_BESS,2025-07-07,17,108.07,127.14
BURNS_1_BESS,2025-07-07,18,101.65,84.71
BURNS_1_BESS,2025-07-07,19,64.26,71.6
BURNS_1_BESS,2025-07-07,20,43.34,54.03
BURNS_1_BESS,2025-07-07,21,32.12,26.5
BURNS_1_BESS,2025-07-07,22,43.53,50.19
BURNS_1_BESS,2025-07-07,23,30.67,48.06
BURNS_1_BESS,2025-07-07,24,22.03,31.27
SHELBY_2_HYBRD,2025-07-01,1,30.93,26.29
SHELBY_2_HYBRD,2025-07-01,2,28.26,9.49
SHELBY_2_HYBRD,2025-07-01,3,34.24,31.47
SHELBY_2_HYBRD,2025-07-01,4,19.77,35.51
SHELBY_2_HYBRD,2025-07-01,5,17.96,-3.17
SHELBY_2_HYBRD,2025-07-01,6,9.43,18.52
SHELBY_2_HYBRD,2025-07-01,7,25.79,52.11
SHELBY_2_HYBRD,2025-07-01,8,13.77,39.22
SHELBY_2_HYBRD,2025-07-01,9,48.17,46.72
SHELBY_2_HYBRD,2025-07-01,10,36.83,42.82
SHELBY_2_HYBRD,2025-07-01,11,14.06,30.61
SHELBY_2_HYBRD,2025-07-01,12,17.86,20.11
SHELBY_2_HYBRD,2025-07-01,13,5.91,5.06
SHELBY_2_HYBRD,2025-07-01,14,22.7,-2.95
SHELBY_2_HYBRD,2025-07-01,15,-18.7,-7.55
SHELBY_2_HYBRD,2025-07-01,16,19.27,16.51
SHELBY_2_HYBRD,2025-07-01,17,80.55,85.76
SHELBY_2_HYBRD,2025-07-01,18,63.81,52.14
SHELBY_2_HYBRD,2025-07-01,19,85.88,71.2
SHELBY_2_HYBRD,2025-07-01,20,92.25,66.71
SHELBY_2_HYBRD,2025-07-01,21,47.35,54.44
SHELBY_2_HYBRD,2025-07-01,22,38.07,52.81
SHELBY_2_HYBRD,2025-07-01,23,54.99,70.21
SHELBY_2_HYBRD,2025-07-01,24,12.91,-6.28
SHELBY_2_HYBRD,2025-07-02,1,18.75,19.14
SHELBY_2_HYBRD,2025-07-02,2,30.18,19.29
SHELBY_2_HYBRD,2025-07-02,3,26.87,15.54
SHELBY_2_HYBRD,2025-07-02,4,18.88,-2.22
SHELBY_2_HYBRD,2025-07-02,5,15.77,-4.51
SHELBY_2_HYBRD,2025-07-02,6,15.24,31.04
SHELBY_2_HYBRD,2025-07-02,7,30.76,70.25
SHELBY_2_HYBRD,2025-07-02,8,52.4,55.17
SHELBY_2_HYBRD,2025-07-02,9,32.12,42.62
SHELBY_2_HYBRD,2025-07-02,10,36.37,38.2
SHELBY_2_HYBRD,2025-07-02,11,79.0,77.56
SHELBY_2_HYBRD,2025-07-02,12,43.73,33.18
SHELBY_2_HYBRD,2025-07-02,13,14.13,40.69
SHELBY_2_HYBRD,2025-07-02,14,-0.67,26.52
SHELBY_2_HYBRD,2025-07-02,15,32.69,24.25
SHELBY_2_HYBRD,2025-07-02,16,30.81,45.4
SHELBY_2_HYBRD,2025-07-02,17,98.65,75.1
SHELBY_2_HYBRD,2025-07-02,18,58.19,54.48
SHELBY_2_HYBRD,2025-07-02,19,77.77,87.08
SHELBY_2_HYBRD,2025-07-02,20,85.33,65.3
SHELBY_2_HYBRD,2025-07-02,21,39.56,48.72
SHELBY_2_HYBRD,2025-07-02,22,41.72,57.93
SHELBY_2_HYBRD,2025-07-02,23,45.01,51.9
SHELBY_2_HYBRD,2025-07-02,24,34.16,9.25
SHELBY_2_HYBRD,2025-07-03,1,29.3,32.42
SHELBY_2_HYBRD,2025-07-03,2,27.72,8.57
SHELBY_2_HYBRD,2025-07-03,3,14.19,29.99
SHELBY_2_HYBRD,2025-07-03,4,24.6,34.82
SHELBY_2_HYBRD,2025-07-03,5,25.28,25.73
SHELBY_2_HYBRD,2025-07-03,6,34.38,26.64
SHELBY_2_HYBRD,2025-07-03,7,46.44,39.51
SHELBY_2_HYBRD,2025-07-03,8,38.48,33.84
SHELBY_2_HYBRD,2025-07-03,9,48.33,41.15
SHELBY_2_HYBRD,2025-07-03,10,63.84,50.42
SHELBY_2_HYBRD,2025-07-03,11,-48.79,-27.09
SHELBY_2_HYBRD,2025-07-03,12,-19.36,-41.64
SHELBY_2_HYBRD,2025-07-03,13,-22.21,-20.98
SHELBY_2_HYBRD,2025-07-03,14,-50.35,-29.21
SHELBY_2_HYBRD,2025-07-03,15,-47.26,-53.94
SHELBY_2_HYBRD,2025-07-03,16,51.33,75.02
SHELBY_2_HYBRD,2025-07-03,17,64.31,58.01
SHELBY_2_HYBRD,2025-07-03,18,71.55,51.38
SHELBY_2_HYBRD,2025-07-03,19,52.44,37.38
SHELBY_2_HYBRD,2025-07-03,20,56.97,56.45
SHELBY_2_HYBRD,2025-07-03,21,37.81,61.07
SHELBY_2_HYBRD,2025-07-03,22,23.02,37.78
SHELBY_2_HYBRD,2025-07-03,23,32.43,31.69
SHELBY_2_HYBRD,2025-07-03,24,43.1,26.26
SHELBY_2_HYBRD,2025-07-04,1,28.82,31.32
SHELBY_2_HYBRD,2025-07-04,2,29.92,34.26
SHELBY_2_HYBRD,2025-07-04,3,49.55,39.98
SHELBY_2_HYBRD,2025-07-04,4,19.69,10.34
SHELBY_2_HYBRD,2025-07-04,5,19.45,9.89
SHELBY_2_HYBRD,2025-07-04,6,36.89,58.2
SHELBY_2_HYBRD,2025-07-04,7,36.44,23.95
SHELBY_2_HYBRD,2025-07-04,8,52.07,43.79
SHELBY_2_HYBRD,2025-07-04,9,54.49,57.53
SHELBY_2_HYBRD,2025-07-04,10,22.26,45.47
SHELBY_2_HYBRD,2025-07-04,11,59.9,50.71
SHELBY_2_HYBRD,2025-07-04,12,5.31,9.6
SHELBY_2_HYBRD,2025-07-04,13,23.36,33.24
SHELBY_2_HYBRD,2025-07-04,14,65.26,62.61
SHELBY_2_HYBRD,2025-07-04,15,-4.96,-25.65
SHELBY_2_HYBRD,2025-07-04,16,-3.27,-3.77
SHELBY_2_HYBRD,2025-07-04,17,133.84,126.08
SHELBY_2_HYBRD,2025-07-04,18,86.71,86.46
SHELBY_2_HYBRD,2025-07-04,19,115.65,153.55
SHELBY_2_HYBRD,2025-07-04,20,64.07,56.73
SHELBY_2_HYBRD,2025-07-04,21,47.53,57.76
SHELBY_2_HYBRD,2025-07-04,22,57.16,65.92
SHELBY_2_HYBRD,2025-07-04,23,30.69,39.55
SHELBY_2_HYBRD,2025-07-04,24,48.3,60.61
SHELBY_2_HYBRD,2025-07-05,1,21.05,37.05
SHELBY_2_HYBRD,2025-07-05,2,25.69,46.42
SHELBY_2_HYBRD,2025-07-05,3,22.04,19.53
SHELBY_2_HYBRD,2025-07-05,4,18.53,36.63
SHELBY_2_HYBRD,2025-07-05,5,11.78,17.31
SHELBY_2_HYBRD,2025-07-05,6,14.75,15.18
SHELBY_2_HYBRD,2025-07-05,7,44.92,47.79
SHELBY_2_HYBRD,2025-07-05,8,31.99,11.59
SHELBY_2_HYBRD,2025-07-05,9,39.34,49.02
SHELBY_2_HYBRD,2025-07-05,10,54.21,49.59
SHELBY_2_HYBRD,2025-07-05,11,14.34,18.08
SHELBY_2_HYBRD,2025-07-05,12,38.11,36.68
SHELBY_2_HYBRD,2025-07-05,13,15.38,24.5
SHELBY_2_HYBRD,2025-07-05,14,13.77,7.07
