award_id,resource_id,market,operating_date,hour_ending,awarded_mw,clearing_price,product
AWD-000047,RES-001,DA,2025-07-04,19,9.9,101.42,energy
AWD-000048,RES-001,DA,2025-07-05,7,5.8,71.95,energy
AWD-000049,RES-001,DA,2025-07-05,8,18.1,43.42,energy
AWD-000050,RES-001,DA,2025-07-05,9,26.6,38.34,energy
AWD-000051,RES-001,DA,2025-07-05,10,38.5,39.47,energy
AWD-000052,RES-001,DA,2025-07-05,11,42.1,6.36,energy
AWD-000053,RES-001,DA,2025-07-05,12,38.7,11.93,energy
AWD-000054,RES-001,DA,2025-07-05,13,40.1,-22.18,energy
AWD-000055,RES-001,DA,2025-07-05,14,48.7,-17.72,energy
AWD-000056,RES-001,DA,2025-07-05,15,42.1,29.56,energy
AWD-000057,RES-001,DA,2025-07-05,16,33.8,-8.36,energy
AWD-000058,RES-001,DA,2025-07-05,17,30.4,70.27,energy
AWD-000059,RES-001,DA,2025-07-05,18,12.0,60.55,energy
AWD-000060,RES-001,DA,2025-07-05,19,10.1,457.2,energy
AWD-000061,RES-001,DA,2025-07-06,7,10.6,36.16,energy
AWD-000062,RES-001,DA,2025-07-06,8,19.4,21.77,energy
AWD-000063,RES-001,DA,2025-07-06,9,30.2,-2.53,energy
AWD-000064,RES-001,DA,2025-07-06,10,37.0,28.85,energy
AWD-000065,RES-001,DA,2025-07-06,12,45.4,-11.17,energy
AWD-000066,RES-001,DA,2025-07-06,16,38.6,22.09,energy
AWD-000067,RES-001,DA,2025-07-06,17,25.2,30.01,energy
AWD-000068,RES-001,DA,2025-07-06,18,18.1,15.01,energy
AWD-000069,RES-001,DA,2025-07-06,19,9.2,68.35,energy
AWD-000070,RES-001,DA,2025-07-07,7,9.1,61.48,energy
AWD-000071,RES-001,DA,2025-07-07,8,21.5,57.2,energy
AWD-000072,RES-001,DA,2025-07-07,9,28.0,45.32,energy
AWD-000073,RES-001,DA,2025-07-07,10,32.5,40.35,energy
AWD-000074,RES-001,DA,2025-07-07,11,39.1,11.75,energy
AWD-000075,RES-001,DA,2025-07-07,12,43.0,29.88,energy
AWD-000076,RES-001,DA,2025-07-07,13,47.6,67.31,energy
AWD-000077,RES-001,DA,2025-07-07,14,46.2,-15.35,energy
AWD-000078,RES-001,DA,2025-07-07,15,23.3,34.79,energy
AWD-000079,RES-001,DA,2025-07-07,16,24.2,30.71,energy
AWD-000080,RES-001,DA,2025-07-07,17,25.9,53.08,energy
AWD-000081,RES-001,DA,2025-07-07,18,17.8,59.69,energy
AWD-000082,RES-001,DA,2025-07-07,19,10.2,75.59,energy
AWD-000083,RES-002,DA,2025-07-01,1,72.8,10.93,energy
AWD-000084,RES-002,DA,2025-07-01,2,63.8,22.87,energy
AWD-000085,RES-002,DA,2025-07-01,3,57.4,39.75,energy
AWD-000086,RES-002,DA,2025-07-01,4,79.8,23.4,energy
AWD-000087,RES-002,DA,2025-07-01,5,37.8,14.97,energy
AWD-000088,RES-002,DA,2025-07-01,6,56.1,22.11,energy
AWD-000089,RES-002,DA,2025-07-01,7,72.0,32.59,energy
AWD-000090,RES-002,DA,2025-07-01,8,55.6,67.99,energy
AWD-000091,RES-002,DA,2025-07-01,9,87.4,51.03,energy
AWD-000092,RES-002,DA,2025-07-01,10,34.1,38.98,energy
AWD-000093,RES-002,DA,2025-07-01,11,51.1,15.31,energy
AWD-000094,RES-002,DA,2025-07-01,12,56.1,-4.33,energy
AWD-000095,RES-002,DA,2025-07-01,13,51.1,27.45,energy
AWD-000096,RES-002,DA,2025-07-01,14,54.5,38.98,energy
AWD-000097,RES-002,DA,2025-07-01,15,76.3,-4.18,energy
AWD-000098,RES-002,DA,2025-07-01,16,72.9,19.58,energy
AWD-000099,RES-002,DA,2025-07-01,17,85.3,55.75,energy
AWD-000100,RES-002,DA,2025-07-01,18,80.8,62.02,energy
AWD-000101,RES-002,DA,2025-07-01,19,74.4,64.23,energy
AWD-000102,RES-002,DA,2025-07-01,20,60.1,84.51,energy
AWD-000103,RES-002,DA,2025-07-01,21,72.4,57.51,energy
AWD-000104,RES-002,DA,2025-07-01,22,63.3,28.08,energy
AWD-000105,RES-002,DA,2025-07-01,23,76.8,40.9,energy
AWD-000106,RES-002,DA,2025-07-01,24,62.3,56.98,energy
AWD-000107,RES-002,DA,2025-07-02,1,71.1,20.31,energy
AWD-000108,RES-002,DA,2025-07-02,2,64.6,38.54,energy
AWD-000109,RES-002,DA,2025-07-02,3,68.1,37.38,energy
AWD-000110,RES-002,DA,2025-07-02,4,44.7,19.01,energy
AWD-000111,RES-002,DA,2025-07-02,5,54.5,25.47,energy
AWD-000112,RES-002,DA,2025-07-02,6,72.4,31.23,energy
AWD-000113,RES-002,DA,2025-07-02,7,56.3,42.86,energy
AWD-000114,RES-002,DA,2025-07-02,8,65.6,52.72,energy
AWD-000115,RES-002,DA,2025-07-02,9,64.3,28.13,energy
AWD-000116,RES-002,DA,2025-07-02,10,68.3,64.17,energy
AWD-000117,RES-002,DA,2025-07-02,11,51.9,-3.71,energy
AWD-000118,RES-002,DA,2025-07-02,12,73.0,17.89,energy
AWD-000119,RES-002,DA,2025-07-02,13,59.0,16.69,energy
AWD-000120,RES-002,DA,2025-07-02,14,69.1,58.88,energy
AWD-000121,RES-002,DA,2025-07-02,15,55.3,39.29,energy
AWD-000122,RES-002,DA,2025-07-02,16,94.7,49.22,energy
AWD-000123,RES-002,DA,2025-07-02,17,85.9,100.58,energy
AWD-000124,RES-002,DA,2025-07-02,18,67.1,27.24,energy
AWD-000125,RES-002,DA,2025-07-02,19,94.3,18.82,energy
AWD-000126,RES-002,DA,2025-07-02,20,84.5,101.53,energy
AWD-000127,RES-002,DA,2025-07-02,21,80.5,35.89,energy
AWD-000128,RES-002,DA,2025-07-02,22,92.5,18.44,energy
AWD-000129,RES-002,DA,2025-07-02,23,62.0,34.33,energy
AWD-000130,RES-002,DA,2025-07-02,24,34.2,34.61,energy
AWD-000131,RES-002,DA,2025-07-03,1,55.6,24.11,energy
AWD-000132,RES-002,DA,2025-07-03,2,63.7,31.7,energy
AWD-000133,RES-002,DA,2025-07-03,3,54.0,15.6,energy
AWD-000134,RES-002,DA,2025-07-03,4,71.8,14.41,energy
AWD-000135,RES-002,DA,2025-07-03,5,63.1,34.55,energy
AWD-000136,RES-002,DA,2025-07-03,6,73.0,30.04,energy
AWD-000137,RES-002,DA,2025-07-03,7,68.3,33.11,energy
AWD-000138,RES-002,DA,2025-07-03,8,72.5,29.47,energy
AWD-000139,RES-002,DA,2025-07-03,9,62.8,27.03,energy
AWD-000140,RES-002,DA,2025-07-03,10,42.9,45.53,energy
AWD-000141,RES-002,DA,2025-07-03,11,57.9,-42.25,energy
AWD-000142,RES-002,DA,2025-07-03,12,77.2,-24.85,energy
AWD-000143,RES-002,DA,2025-07-03,13,58.2,-45.5,energy
AWD-000144,RES-002,DA,2025-07-03,14,63.5,-12.66,energy
AWD-000145,RES-002,DA,2025-07-03,15,52.0,-28.47,energy
AWD-000146,RES-002,DA,2025-07-03,16,61.2,91.97,energy
AWD-000147,RES-002,DA,2025-07-03,17,73.8,76.16,energy
AWD-000148,RES-002,DA,2025-07-03,18,78.6,31.81,energy
AWD-000149,RES-002,DA,2025-07-03,19,72.2,57.31,energy
AWD-000150,RES-002,DA,2025-07-03,20,60.8,60.6,energy
AWD-000151,RES-002,DA,2025-07-03,21,93.7,55.25,energy
AWD-000152,RES-002,DA,2025-07-03,22,92.8,34.9,energy
AWD-000153,RES-002,DA,2025-07-03,23,74.7,35.93,energy
AWD-000154,RES-002,DA,2025-07-03,24,85.6,53.28,energy
AWD-000155,RES-002,DA,2025-07-05,1,69.6,0.2,energy
AWD-000156,RES-002,DA,2025-07-05,2,67.0,21.54,energy
AWD-000157,RES-002,DA,2025-07-05,3,79.2,20.1,energy
AWD-000158,RES-002,DA,2025-07-05,4,60.5,18.11,energy
AWD-000159,RES-002,DA,2025-07-05,5,54.5,25.67,energy
AWD-000160,RES-002,DA,2025-07-05,6,57.5,19.86,energy
AWD-000161,RES-002,DA,2025-07-05,7,66.8,26.38,energy
AWD-000162,RES-002,DA,2025-07-05,8,53.4,35.64,energy
AWD-000163,RES-002,DA,2025-07-05,9,85.3,34.54,energy
AWD-000164,RES-002,DA,2025-07-05,10,84.8,40.65,energy
AWD-000165,RES-002,DA,2025-07-05,11,52.5,31.52,energy
AWD-000166,RES-002,DA,2025-07-05,12,33.2,-25.17,energy
AWD-000167,RES-002,DA,2025-07-05,13,78.4,-22.24,energy
AWD-000168,RES-002,DA,2025-07-05,14,70.1,10.82,energy
AWD-000169,RES-002,DA,2025-07-05,15,62.4,16.22,energy
AWD-000170,RES-002,DA,2025-07-05,16,79.1,25.01,energy
AWD-000171,RES-002,DA,2025-07-05,17,77.9,60.95,energy
AWD-000172,RES-002,DA,2025-07-05,18,76.1,24.95,energy
AWD-000173,RES-002,DA,2025-07-05,19,87.5,329.24,energy
AWD-000174,RES-002,DA,2025-07-05,20,69.1,103.68,energy
AWD-000175,RES-002,DA,2025-07-05,21,71.6,26.59,energy
AWD-000176,RES-002,DA,2025-07-05,22,78.2,17.36,energy
AWD-000177,RES-002,DA,2025-07-05,23,90.7,17.31,energy
AWD-000178,RES-002,DA,2025-07-05,24,90.5,20.49,energy
AWD-000179,RES-002,DA,2025-07-06,1,66.8,19.84,energy
AWD-000180,RES-002,DA,2025-07-06,2,66.7,13.93,energy
AWD-000181,RES-002,DA,2025-07-06,3,52.8,10.65,energy
AWD-000182,RES-002,DA,2025-07-06,4,58.5,20.14,energy
AWD-000183,RES-002,DA,2025-07-06,5,74.0,11.04,energy
AWD-000184,RES-002,DA,2025-07-06,6,63.6,26.99,energy
AWD-000185,RES-002,DA,2025-07-06,7,52.8,51.21,energy
AWD-000186,RES-002,DA,2025-07-06,8,55.9,18.43,energy
AWD-000187,RES-002,DA,2025-07-06,9,63.3,47.21,energy
AWD-000188,RES-002,DA,2025-07-06,10,86.5,30.92,energy
AWD-000189,RES-002,DA,2025-07-06,11,59.4,8.92,energy
AWD-000190,RES-002,DA,2025-07-06,12,55.9,-25.48,energy
AWD-000191,RES-002,DA,2025-07-06,13,34.6,-55.81,energy
AWD-000192,RES-002,DA,2025-07-06,14,66.7,-13.09,energy
AWD-000193,RES-002,DA,2025-07-06,15,68.4,-59.79,energy
AWD-000194,RES-002,DA,2025-07-06,16,91.4,11.48,energy
AWD-000195,RES-002,DA,2025-07-06,17,77.7,20.46,energy
AWD-000196,RES-002,DA,2025-07-06,18,61.2,52.68,energy
AWD-000197,RES-002,DA,2025-07-06,19,85.6,34.75,energy
AWD-000198,RES-002,DA,2025-07-06,20,71.0,73.29,energy
AWD-000199,RES-002,DA,2025-07-06,21,93.9,13.66,energy
AWD-000200,RES-002,DA,2025-07-06,22,64.1,21.68,energy
AWD-000201,RES-002,DA,2025-07-06,23,71.2,22.32,energy
AWD-000202,RES-002,DA,2025-07-06,24,77.0,22.44,energy
AWD-000203,RES-002,DA,2025-07-07,1,69.0,-1.97,energy
AWD-000204,RES-002,DA,2025-07-07,2,76.5,22.69,energy
AWD-000205,RES-002,DA,2025-07-07,3,54.9,43.49,energy
AWD-000206,RES-002,DA,2025-07-07,4,36.8,22.31,energy
AWD-000207,RES-002,DA,2025-07-07,5,71.6,50.73,energy
AWD-000208,RES-002,DA,2025-07-07,6,34.9,25.14,energy
AWD-000209,RES-002,DA,2025-07-07,7,55.6,47.97,energy
AWD-000210,RES-002,DA,2025-07-07,8,66.3,36.4,energy
AWD-000211,RES-002,DA,2025-07-07,9,84.9,44.51,energy
AWD-000212,RES-002,DA,2025-07-07,10,76.5,34.31,energy
AWD-000213,RES-002,DA,2025-07-07,11,63.8,8.63,energy
AWD-000214,RES-002,DA,2025-07-07,12,64.8,-51.27,energy
AWD-000215,RES-002,DA,2025-07-07,13,47.6,46.15,energy
AWD-000216,RES-002,DA,2025-07-07,14,71.4,6.43,energy
AWD-000217,RES-002,DA,2025-07-07,15,53.0,-20.19,energy
AWD-000218,RES-002,DA,2025-07-07,17,75.8,108.07,energy
AWD-000219,RES-002,DA,2025-07-07,18,82.8,101.65,energy
AWD-000220,RES-002,DA,2025-07-07,19,72.3,64.26,energy
AWD-000221,RES-002,DA,2025-07-07,20,76.5,43.34,energy
AWD-000222,RES-002,DA,2025-07-07,21,82.2,32.12,energy
AWD-000223,RES-002,DA,2025-07-07,22,83.7,43.53,energy
AWD-000224,RES-002,DA,2025-07-07,23,84.0,30.67,energy
AWD-000225,RES-002,DA,2025-07-07,24,66.1,22.03,energy
AWD-000226,RES-003,DA,2025-07-01,4,15.2,19.77,energy
AWD-000227,RES-003,DA,2025-07-01,5,18.9,17.96,energy
AWD-000228,RES-003,DA,2025-07-01,6,18.8,9.43,energy
AWD-000229,RES-003,DA,2025-07-01,7,8.5,25.79,energy
AWD-000230,RES-003,DA,2025-07-01,8,18.8,13.77,energy
AWD-000231,RES-003,DA,2025-07-01,9,22.8,48.17,energy
AWD-000232,RES-003,DA,2025-07-01,10,34.5,36.83,energy
AWD-000233,RES-003,DA,2025-07-01,11,37.7,14.06,energy
AWD-000234,RES-003,DA,2025-07-01,12,42.8,17.86,energy
AWD-000235,RES-003,DA,2025-07-01,13,25.8,5.91,energy
AWD-000236,RES-003,DA,2025-07-01,14,36.6,22.7,energy
AWD-000237,RES-003,DA,2025-07-01,15,35.6,-18.7,energy
AWD-000238,RES-003,DA,2025-07-01,16,30.8,19.27,energy
AWD-000239,RES-003,DA,2025-07-01,17,23.7,80.55,energy
AWD-000240,RES-003,DA,2025-07-01,18,17.1,63.81,energy
AWD-000241,RES-003,DA,2025-07-01,19,5.0,85.88,energy
AWD-000242,RES-003,DA,2025-07-01,20,21.7,92.25,energy
AWD-000243,RES-003,DA,2025-07-01,21,22.3,47.35,energy
AWD-000244,RES-003,DA,2025-07-01,22,21.8,38.07,energy
AWD-000245,RES-003,DA,2025-07-01,23,26.7,54.99,energy
AWD-000246,RES-003,DA,2025-07-02,1,18.8,18.75,energy
AWD-000247,RES-003,DA,2025-07-02,2,12.2,30.18,energy
AWD-000248,RES-003,DA,2025-07-02,4,19.5,18.88,energy
AWD-000249,RES-003,DA,2025-07-02,5,19.9,15.77,energy
AWD-000250,RES-003,DA,2025-07-02,6,18.3,15.24,energy
AWD-000251,RES-003,DA,2025-07-02,7,8.2,30.76,energy
AWD-000252,RES-003,DA,2025-07-02,8,16.6,52.4,energy
AWD-000253,RES-003,DA,2025-07-02,9,22.5,32.12,energy
AWD-000254,RES-003,DA,2025-07-02,10,31.4,36.37,energy
AWD-000255,RES-003,DA,2025-07-02,11,34.9,79.0,energy
AWD-000256,RES-003,DA,2025-07-02,12,40.3,43.73,energy
AWD-000257,RES-003,DA,2025-07-02,13,38.7,14.13,energy
AWD-000258,RES-003,DA,2025-07-02,14,37.7,-0.67,energy
AWD-000259,RES-003,DA,2025-07-02,15,38.5,32.69,energy
AWD-000260,RES-003,DA,2025-07-02,16,28.5,30.81,energy
AWD-000261,RES-003,DA,2025-07-02,17,27.5,98.65,energy
AWD-000262,RES-003,DA,2025-07-02,18,18.9,58.19,energy
AWD-000263,RES-003,DA,2025-07-02,19,9.3,77.77,energy
AWD-000264,RES-003,DA,2025-07-02,20,23.3,85.33,energy
AWD-000265,RES-003,DA,2025-07-02,21,19.7,39.56,energy
AWD-000266,RES-003,DA,2025-07-03,2,14.0,27.72,energy
AWD-000267,RES-003,DA,2025-07-03,3,18.6,14.19,energy
AWD-000268,RES-003,DA,2025-07-03,4,12.3,24.6,energy
AWD-000269,RES-003,DA,2025-07-03,5,12.6,25.28,energy
AWD-000270,RES-003,DA,2025-07-03,7,8.2,46.44,energy
AWD-000271,RES-003,DA,2025-07-03,8,19.2,38.48,energy
AWD-000272,RES-003,DA,2025-07-03,9,25.1,48.33,energy
AWD-000273,RES-003,DA,2025-07-03,10,29.1,63.84,energy
AWD-000274,RES-003,DA,2025-07-03,12,36.5,-19.36,energy
AWD-000275,RES-003,DA,2025-07-03,13,37.5,-22.21,energy
AWD-000276,RES-003,DA,2025-07-03,16,28.2,51.33,energy
AWD-000277,RES-003,DA,2025-07-03,17,20.3,64.31,energy
AWD-000278,RES-003,DA,2025-07-03,18,18.3,71.55,energy
AWD-000279,RES-003,DA,2025-07-03,19,8.3,52.44,energy
AWD-000280,RES-003,DA,2025-07-03,20,20.1,56.97,energy
AWD-000281,RES-003,DA,2025-07-04,1,15.3,28.82,energy
AWD-000282,RES-003,DA,2025-07-04,4,15.0,19.69,energy
AWD-000283,RES-003,DA,2025-07-04,5,13.8,19.45,energy
AWD-000284,RES-003,DA,2025-07-04,7,9.0,36.44,energy
AWD-000285,RES-003,DA,2025-07-04,8,10.9,52.07,energy
AWD-000286,RES-003,DA,2025-07-04,9,22.5,54.49,energy
AWD-000287,RES-003,DA,2025-07-04,10,29.7,22.26,energy
AWD-000288,RES-003,DA,2025-07-04,11,32.7,59.9,energy
AWD-000289,RES-003,DA,2025-07-04,12,36.0,5.31,energy
AWD-000290,RES-003,DA,2025-07-04,13,39.0,23.36,energy
AWD-000291,RES-003,DA,2025-07-04,14,42.1,65.26,energy
AWD-000292,RES-003,DA,2025-07-04,15,37.1,-4.96,energy
AWD-000293,RES-003,DA,2025-07-04,16,31.8,-3.27,energy
AWD-000294,RES-003,DA,2025-07-04,17,24.1,133.84,energy
AWD-000295,RES-003,DA,2025-07-04,18,19.3,86.71,energy
AWD-000296,RES-003,DA,2025-07-04,19,8.8,115.65,energy
AWD-000297,RES-003,DA,2025-07-04,20,18.8,64.07,energy
AWD-000298,RES-003,DA,2025-07-04,21,19.0,47.53,energy
AWD-000299,RES-003,DA,2025-07-04,22,22.6,57.16,energy
AWD-000300,RES-003,DA,2025-07-04,24,26.9,48.3,energy
AWD-000301,RES-003,DA,2025-07-05,1,13.5,21.05,energy
AWD-000302,RES-003,DA,2025-07-05,2,18.6,25.69,energy
AWD-000303,RES-003,DA,2025-07-05,3,18.0,22.04,energy
AWD-000304,RES-003,DA,2025-07-05,4,18.1,18.53,energy
AWD-000305,RES-003,DA,2025-07-05,5,14.2,11.78,energy
AWD-000306,RES-003,DA,2025-07-05,6,13.3,14.75,energy
AWD-000307,RES-003,DA,2025-07-05,7,8.0,44.92,energy
AWD-000308,RES-003,DA,2025-07-05,8,18.4,31.99,energy
AWD-000309,RES-003,DA,2025-07-05,9,27.1,39.34,energy
AWD-000310,RES-003,DA,2025-07-05,10,28.4,54.21,energy
AWD-000311,RES-003,DA,2025-07-05,11,39.5,14.34,energy
AWD-000312,RES-003,DA,2025-07-05,12,37.3,38.11,energy
AWD-000313,RES-003,DA,2025-07-05,13,42.0,15.38,energy
AWD-000314,RES-003,DA,2025-07-05,14,34.2,13.77,energy
AWD-000315,RES-003,DA,2025-07-05,15,37.8,13.9,energy
AWD-000316,RES-003,DA,2025-07-05,16,28.8,-7.46,energy
AWD-000317,RES-003,DA,2025-07-05,17,25.8,41.3,energy
AWD-000318,RES-003,DA,2025-07-05,18,17.8,24.01,energy
AWD-000319,RES-003,DA,2025-07-05,19,6.4,428.28,energy
AWD-000320,RES-003,DA,2025-07-05,20,21.6,44.34,energy
AWD-000321,RES-003,DA,2025-07-06,1,17.5,8.54,energy
AWD-000322,RES-003,DA,2025-07-06,2,18.5,22.05,energy
AWD-000323,RES-003,DA,2025-07-06,4,16.8,6.82,energy
AWD-000324,RES-003,DA,2025-07-06,5,12.1,17.18,energy
AWD-000325,RES-003,DA,2025-07-06,6,14.7,15.81,energy
AWD-000326,RES-003,DA,2025-07-06,7,9.2,18.36,energy
AWD-000327,RES-003,DA,2025-07-06,8,15.8,30.64,energy
AWD-000328,RES-003,DA,2025-07-06,9,23.1,35.1,energy
AWD-000329,RES-003,DA,2025-07-06,10,32.1,37.48,energy
AWD-000330,RES-003,DA,2025-07-06,11,35.2,-13.42,energy
AWD-000331,RES-003,DA,2025-07-06,13,41.9,-3.98,energy
AWD-000332,RES-003,DA,2025-07-06,16,22.1,-22.57,energy
AWD-000333,RES-003,DA,2025-07-06,17,26.2,5.1,energy
AWD-000334,RES-003,DA,2025-07-06,18,16.7,71.97,energy
AWD-000335,RES-003,DA,2025-07-06,19,8.6,64.93,energy
AWD-000336,RES-003,DA,2025-07-06,20,25.1,55.0,energy
AWD-000337,RES-003,DA,2025-07-07,1,12.2,18.18,energy
AWD-000338,RES-003,DA,2025-07-07,2,16.7,22.19,energy
AWD-000339,RES-003,DA,2025-07-07,3,13.5,31.41,energy
AWD-000340,RES-003,DA,2025-07-07,4,12.4,30.73,energy
AWD-000341,RES-003,DA,2025-07-07,6,16.7,18.53,energy
AWD-000342,RES-003,DA,2025-07-07,7,8.0,50.9,energy
AWD-000343,RES-003,DA,2025-07-07,8,17.1,54.53,energy
AWD-000344,RES-003,DA,2025-07-07,9,26.9,36.97,energy
AWD-000345,RES-003,DA,2025-07-07,10,32.3,47.96,energy
AWD-000346,RES-003,DA,2025-07-07,11,33.3,-2.23,energy
AWD-000347,RES-003,DA,2025-07-07,12,42.5,19.95,energy
AWD-000348,RES-003,DA,2025-07-07,13,40.8,2.9,energy
AWD-000349,RES-003,DA,2025-07-07,14,42.5,25.6,energy
AWD-000350,RES-003,DA,2025-07-07,15,19.7,0.66,energy
AWD-000351,RES-003,DA,2025-07-07,16,32.1,68.56,energy
AWD-000352,RES-003,DA,2025-07-07,17,23.0,93.09,energy
AWD-000353,RES-003,DA,2025-07-07,18,12.1,83.6,energy
AWD-000354,RES-003,DA,2025-07-07,19,10.0,49.32,energy
AWD-000355,RES-003,DA,2025-07-07,21,22.8,42.77,energy
AWD-000356,RES-003,DA,2025-07-07,22,18.9,53.89,energy
AWD-000357,RES-003,DA,2025-07-07,24,19.1,47.57,energy
AWD-000358,RES-004,DA,2025-07-01,1,12.9,20.41,energy
AWD-000359,RES-004,DA,2025-07-01,4,16.0,9.24,energy
AWD-000360,RES-004,DA,2025-07-01,5,15.6,38.8,energy
AWD-000361,RES-004,DA,2025-07-01,6,11.7,28.96,energy
AWD-000362,RES-004,DA,2025-07-01,7,7.0,48.91,energy
AWD-000363,RES-004,DA,2025-07-01,8,13.7,34.93,energy
AWD-000364,RES-004,DA,2025-07-01,9,19.5,62.59,energy
AWD-000365,RES-004,DA,2025-07-01,10,25.6,39.44,energy
AWD-000366,RES-004,DA,2025-07-01,13,32.7,-12.99,energy
AWD-000367,RES-004,DA,2025-07-01,14,33.4,44.02,energy
AWD-000368,RES-004,DA,2025-07-01,15,31.4,23.66,energy
AWD-000369,RES-004,DA,2025-07-01,16,25.0,26.93,energy
AWD-000370,RES-004,DA,2025-07-01,17,19.3,41.51,energy
AWD-000371,RES-004,DA,2025-07-01,18,13.3,65.19,energy
AWD-000372,RES-004,DA,2025-07-01,19,6.7,67.16,energy
AWD-000373,RES-004,DA,2025-07-01,20,14.8,105.51,energy
AWD-000374,RES-004,DA,2025-07-01,22,18.4,59.92,energy
AWD-000375,RES-004,DA,2025-07-01,23,18.6,40.16,energy
AWD-000376,RES-004,DA,2025-07-02,1,11.1,23.04,energy
AWD-000377,RES-004,DA,2025-07-02,2,10.9,24.63,energy
AWD-000378,RES-004,DA,2025-07-02,3,11.9,25.52,energy
AWD-000379,RES-004,DA,2025-07-02,4,12.9,24.19,energy
AWD-000380,RES-004,DA,2025-07-02,5,10.7,5.02,energy
AWD-000381,RES-004,DA,2025-07-02,6,14.7,28.46,energy
AWD-000382,RES-004,DA,2025-07-02,7,6.6,1.56,energy
AWD-000383,RES-004,DA,2025-07-02,8,14.3,42.91,energy
AWD-000384,RES-004,DA,2025-07-02,9,20.6,29.4,energy
AWD-000385,RES-004,DA,2025-07-02,10,24.5,29.2,energy
AWD-000386,RES-004,DA,2025-07-02,11,28.9,62.85,energy
AWD-000387,RES-004,DA,2025-07-02,12,19.1,20.44,energy
AWD-000388,RES-004,DA,2025-07-02,13,27.3,27.39,energy
AWD-000389,RES-004,DA,2025-07-02,14,31.9,24.12,energy
AWD-000390,RES-004,DA,2025-07-02,15,26.3,13.56,energy
AWD-000391,RES-004,DA,2025-07-02,16,26.3,41.27,energy
AWD-000392,RES-004,DA,2025-07-02,17,20.1,115.61,energy
AWD-000393,RES-004,DA,2025-07-02,18,12.6,45.71,energy
AWD-000394,RES-004,DA,2025-07-02,19,5.9,45.61,energy
AWD-000395,RES-004,DA,2025-07-02,20,21.2,57.37,energy
AWD-000396,RES-004,DA,2025-07-02,22,17.9,40.06,energy
