bid_id,resource_id,market,operating_date,hour_ending,bid_mw,bid_price,bid_type,product,submitted_at,bid_status
BID-00083,RES-001,DA,2025-07-04,11,50,-10.04,supply,energy,2025-07-03 10:00:00,VALID
BID-00084,RES-001,DA,2025-07-04,12,50,-39.27,supply,energy,2025-07-03 10:00:00,VALID
BID-00085,RES-001,DA,2025-07-04,13,50,-25.56,supply,energy,2025-07-03 10:00:00,VALID
BID-00086,RES-001,DA,2025-07-04,14,50,-31.26,supply,energy,2025-07-03 10:00:00,VALID
BID-00087,RES-001,DA,2025-07-04,15,50,-38.09,supply,energy,2025-07-03 10:00:00,VALID
BID-00088,RES-001,DA,2025-07-04,16,50,-22.91,supply,energy,2025-07-03 10:00:00,VALID
BID-00089,RES-001,DA,2025-07-04,17,50,-39.85,supply,energy,2025-07-03 10:00:00,VALID
BID-00090,RES-001,DA,2025-07-04,18,50,-21.66,supply,energy,2025-07-03 10:00:00,VALID
BID-00091,RES-001,DA,2025-07-04,19,50,-13.89,supply,energy,2025-07-03 10:00:00,VALID
BID-00092,RES-001,DA,2025-07-04,20,50,-13.49,supply,energy,2025-07-03 10:00:00,VALID
BID-00093,RES-001,DA,2025-07-04,21,50,-11.37,supply,energy,2025-07-03 10:00:00,VALID
BID-00094,RES-001,DA,2025-07-04,22,50,-17.8,supply,energy,2025-07-03 10:00:00,VALID
BID-00095,RES-001,DA,2025-07-04,23,50,-34.46,supply,energy,2025-07-03 10:00:00,VALID
BID-00096,RES-001,DA,2025-07-04,24,50,-26.96,supply,energy,2025-07-03 10:00:00,VALID
BID-00097,RES-001,DA,2025-07-05,1,50,-13.42,supply,energy,2025-07-04 10:00:00,VALID
BID-00098,RES-001,DA,2025-07-05,2,50,-32.35,supply,energy,2025-07-04 10:00:00,VALID
BID-00099,RES-001,DA,2025-07-05,3,50,-26.7,supply,energy,2025-07-04 10:00:00,VALID
BID-00100,RES-001,DA,2025-07-05,4,50,-21.49,supply,energy,2025-07-04 10:00:00,VALID
BID-00101,RES-001,DA,2025-07-05,5,50,-36.9,supply,energy,2025-07-04 10:00:00,VALID
BID-00102,RES-001,DA,2025-07-05,6,50,-25.3,supply,energy,2025-07-04 10:00:00,VALID
BID-00103,RES-001,DA,2025-07-05,7,50,-38.66,supply,energy,2025-07-04 10:00:00,VALID
BID-00104,RES-001,DA,2025-07-05,8,50,-30.65,supply,energy,2025-07-04 10:00:00,VALID
BID-00105,RES-001,DA,2025-07-05,9,50,-17.44,supply,energy,2025-07-04 10:00:00,VALID
BID-00106,RES-001,DA,2025-07-05,10,50,-18.54,supply,energy,2025-07-04 10:00:00,VALID
BID-00107,RES-001,DA,2025-07-05,11,50,-11.75,supply,energy,2025-07-04 10:00:00,VALID
BID-00108,RES-001,DA,2025-07-05,12,50,-16.69,supply,energy,2025-07-04 10:00:00,VALID
BID-00109,RES-001,DA,2025-07-05,13,50,-33.54,supply,energy,2025-07-04 10:00:00,VALID
BID-00110,RES-001,DA,2025-07-05,14,50,-12.85,supply,energy,2025-07-04 10:00:00,VALID
BID-00111,RES-001,DA,2025-07-05,15,50,-23.43,supply,energy,2025-07-04 10:00:00,VALID
BID-00112,RES-001,DA,2025-07-05,16,50,-14.65,supply,energy,2025-07-04 10:00:00,VALID
BID-00113,RES-001,DA,2025-07-05,17,50,-12.33,supply,energy,2025-07-04 10:00:00,VALID
BID-00114,RES-001,DA,2025-07-05,18,50,-15.13,supply,energy,2025-07-04 10:00:00,VALID
BID-00115,RES-001,DA,2025-07-05,19,50,-28.17,supply,energy,2025-07-04 10:00:00,VALID
BID-00116,RES-001,DA,2025-07-05,20,50,-22.05,supply,energy,2025-07-04 10:00:00,VALID
BID-00117,RES-001,DA,2025-07-05,21,50,-27.02,supply,energy,2025-07-04 10:00:00,VALID
BID-00118,RES-001,DA,2025-07-05,22,50,-19.18,supply,energy,2025-07-04 10:00:00,VALID
BID-00119,RES-001,DA,2025-07-05,23,50,-25.46,supply,energy,2025-07-04 10:00:00,VALID
BID-00120,RES-001,DA,2025-07-05,24,50,-36.15,supply,energy,2025-07-04 10:00:00,VALID
BID-00121,RES-001,DA,2025-07-06,1,50,-20.67,supply,energy,2025-07-05 10:00:00,VALID
BID-00122,RES-001,DA,2025-07-06,2,50,-33.86,supply,energy,2025-07-05 10:00:00,VALID
BID-00123,RES-001,DA,2025-07-06,3,50,-17.65,supply,energy,2025-07-05 10:00:00,VALID
BID-00124,RES-001,DA,2025-07-06,4,50,-36.83,supply,energy,2025-07-05 10:00:00,VALID
BID-00125,RES-001,DA,2025-07-06,5,50,-39.78,supply,energy,2025-07-05 10:00:00,VALID
BID-00126,RES-001,DA,2025-07-06,6,50,-29.97,supply,energy,2025-07-05 10:00:00,VALID
BID-00127,RES-001,DA,2025-07-06,7,50,-10.92,supply,energy,2025-07-05 10:00:00,VALID
BID-00128,RES-001,DA,2025-07-06,8,50,-18.97,supply,energy,2025-07-05 10:00:00,VALID
BID-00129,RES-001,DA,2025-07-06,9,50,-27.59,supply,energy,2025-07-05 10:00:00,VALID
BID-00130,RES-001,DA,2025-07-06,10,50,-36.38,supply,energy,2025-07-05 10:00:00,VALID
BID-00131,RES-001,DA,2025-07-06,11,50,-38.19,supply,energy,2025-07-05 10:00:00,VALID
BID-00132,RES-001,DA,2025-07-06,12,50,-18.21,supply,energy,2025-07-05 10:00:00,VALID
BID-00133,RES-001,DA,2025-07-06,13,50,-12.84,supply,energy,2025-07-05 10:00:00,VALID
BID-00134,RES-001,DA,2025-07-06,14,50,-39.52,supply,energy,2025-07-05 10:00:00,VALID
BID-00135,RES-001,DA,2025-07-06,15,50,-22.48,supply,energy,2025-07-05 10:00:00,VALID
BID-00136,RES-001,DA,2025-07-06,16,50,-18.14,supply,energy,2025-07-05 10:00:00,VALID
BID-00137,RES-001,DA,2025-07-06,17,50,-31.23,supply,energy,2025-07-05 10:00:00,VALID
BID-00138,RES-001,DA,2025-07-06,18,50,-24.32,supply,energy,2025-07-05 10:00:00,VALID
BID-00139,RES-001,DA,2025-07-06,19,50,-15.55,supply,energy,2025-07-05 10:00:00,VALID
BID-00140,RES-001,DA,2025-07-06,20,50,-22.11,supply,energy,2025-07-05 10:00:00,VALID
BID-00141,RES-001,DA,2025-07-06,21,50,-28.64,supply,energy,2025-07-05 10:00:00,VALID
BID-00142,RES-001,DA,2025-07-06,22,50,-37.67,supply,energy,2025-07-05 10:00:00,VALID
BID-00143,RES-001,DA,2025-07-06,23,50,-25.39,supply,energy,2025-07-05 10:00:00,VALID
BID-00144,RES-001,DA,2025-07-06,24,50,-25.95,supply,energy,2025-07-05 10:00:00,VALID
BID-00145,RES-001,DA,2025-07-07,1,50,-34.55,supply,energy,2025-07-06 10:00:00,VALID
BID-00146,RES-001,DA,2025-07-07,2,50,-37.9,supply,energy,2025-07-06 10:00:00,VALID
BID-00147,RES-001,DA,2025-07-07,3,50,-24.75,supply,energy,2025-07-06 10:00:00,VALID
BID-00148,RES-001,DA,2025-07-07,4,50,-30.04,supply,energy,2025-07-06 10:00:00,VALID
BID-00149,RES-001,DA,2025-07-07,5,50,-33.57,supply,energy,2025-07-06 10:00:00,VALID
BID-00150,RES-001,DA,2025-07-07,6,50,-37.16,supply,energy,2025-07-06 10:00:00,VALID
BID-00151,RES-001,DA,2025-07-07,7,50,-14.86,supply,energy,2025-07-06 10:00:00,VALID
BID-00152,RES-001,DA,2025-07-07,8,50,-29.35,supply,energy,2025-07-06 10:00:00,VALID
BID-00153,RES-001,DA,2025-07-07,9,50,-15.2,supply,energy,2025-07-06 10:00:00,VALID
BID-00154,RES-001,DA,2025-07-07,10,50,-39.22,supply,energy,2025-07-06 10:00:00,VALID
BID-00155,RES-001,DA,2025-07-07,11,50,-39.93,supply,energy,2025-07-06 10:00:00,VALID
BID-00156,RES-001,DA,2025-07-07,12,50,-12.27,supply,energy,2025-07-06 10:00:00,VALID
BID-00157,RES-001,DA,2025-07-07,13,50,-19.78,supply,energy,2025-07-06 10:00:00,VALID
BID-00158,RES-001,DA,2025-07-07,14,50,-10.16,supply,energy,2025-07-06 10:00:00,VALID
BID-00159,RES-001,DA,2025-07-07,15,50,-25.61,supply,energy,2025-07-06 10:00:00,VALID
BID-00160,RES-001,DA,2025-07-07,16,50,-35.23,supply,energy,2025-07-06 10:00:00,VALID
BID-00161,RES-001,DA,2025-07-07,17,50,-11.43,supply,energy,2025-07-06 10:00:00,VALID
BID-00162,RES-001,DA,2025-07-07,18,50,-35.02,supply,energy,2025-07-06 10:00:00,VALID
BID-00163,RES-001,DA,2025-07-07,19,50,-28.92,supply,energy,2025-07-06 10:00:00,VALID
BID-00164,RES-001,DA,2025-07-07,20,50,-11.96,supply,energy,2025-07-06 10:00:00,VALID
BID-00165,RES-001,DA,2025-07-07,21,50,-37.55,supply,energy,2025-07-06 10:00:00,VALID
BID-00166,RES-001,DA,2025-07-07,22,50,-26.38,supply,energy,2025-07-06 10:00:00,VALID
BID-00167,RES-001,DA,2025-07-07,23,50,-13.38,supply,energy,2025-07-06 10:00:00,VALID
BID-00168,RES-001,DA,2025-07-07,24,50,-30.42,supply,energy,2025-07-06 10:00:00,VALID
BID-00169,RES-002,DA,2025-07-01,1,100,89.45,supply,energy,2025-06-30 10:00:00,VALID
BID-00170,RES-002,DA,2025-07-01,2,100,5.14,supply,energy,2025-06-30 10:00:00,VALID
BID-00171,RES-002,DA,2025-07-01,3,100,52.52,supply,energy,2025-06-30 10:00:00,VALID
BID-00172,RES-002,DA,2025-07-01,4,100,64.68,supply,energy,2025-06-30 10:00:00,VALID
BID-00173,RES-002,DA,2025-07-01,5,100,58.01,supply,energy,2025-06-30 10:00:00,VALID
BID-00174,RES-002,DA,2025-07-01,6,100,-27.78,supply,energy,2025-06-30 10:00:00,VALID
BID-00175,RES-002,DA,2025-07-01,7,100,8.77,supply,energy,2025-06-30 10:00:00,VALID
BID-00176,RES-002,DA,2025-07-01,8,100,88.32,supply,energy,2025-06-30 10:00:00,VALID
BID-00177,RES-002,DA,2025-07-01,9,100,-5.61,supply,energy,2025-06-30 10:00:00,VALID
BID-00178,RES-002,DA,2025-07-01,10,100,99.44,supply,energy,2025-06-30 10:00:00,VALID
BID-00179,RES-002,DA,2025-07-01,11,100,71.59,supply,energy,2025-06-30 10:00:00,VALID
BID-00180,RES-002,DA,2025-07-01,12,100,85.57,supply,energy,2025-06-30 10:00:00,VALID
BID-00181,RES-002,DA,2025-07-01,13,100,21.15,supply,energy,2025-06-30 10:00:00,VALID
BID-00182,RES-002,DA,2025-07-01,14,100,67.32,supply,energy,2025-06-30 10:00:00,VALID
BID-00183,RES-002,DA,2025-07-01,15,100,-24.12,supply,energy,2025-06-30 10:00:00,VALID
BID-00184,RES-002,DA,2025-07-01,16,100,-16.17,supply,energy,2025-06-30 10:00:00,VALID
BID-00185,RES-002,DA,2025-07-01,17,100,84.41,supply,energy,2025-06-30 10:00:00,VALID
BID-00186,RES-002,DA,2025-07-01,18,100,48.82,supply,energy,2025-06-30 10:00:00,VALID
BID-00187,RES-002,DA,2025-07-01,19,100,62.68,supply,energy,2025-06-30 10:00:00,VALID
BID-00188,RES-002,DA,2025-07-01,20,100,99.87,supply,energy,2025-06-30 10:00:00,VALID
BID-00189,RES-002,DA,2025-07-01,21,100,80.41,supply,energy,2025-06-30 10:00:00,VALID
BID-00190,RES-002,DA,2025-07-01,22,100,14.94,supply,energy,2025-06-30 10:00:00,VALID
BID-00191,RES-002,DA,2025-07-01,23,100,15.75,supply,energy,2025-06-30 10:00:00,VALID
BID-00192,RES-002,DA,2025-07-01,24,100,47.64,supply,energy,2025-06-30 10:00:00,VALID
BID-00193,RES-002,DA,2025-07-02,1,100,60.64,supply,energy,2025-07-01 10:00:00,VALID
BID-00194,RES-002,DA,2025-07-02,2,100,42.48,supply,energy,2025-07-01 10:00:00,VALID
BID-00195,RES-002,DA,2025-07-02,3,100,-18.89,supply,energy,2025-07-01 10:00:00,VALID
BID-00196,RES-002,DA,2025-07-02,4,100,5.68,supply,energy,2025-07-01 10:00:00,VALID
BID-00197,RES-002,DA,2025-07-02,5,100,85.33,supply,energy,2025-07-01 10:00:00,VALID
BID-00198,RES-002,DA,2025-07-02,6,100,-21.07,supply,energy,2025-07-01 10:00:00,VALID
BID-00199,RES-002,DA,2025-07-02,7,100,62.49,supply,energy,2025-07-01 10:00:00,VALID
BID-00200,RES-002,DA,2025-07-02,8,100,78.51,supply,energy,2025-07-01 10:00:00,VALID
BID-00201,RES-002,DA,2025-07-02,9,100,65.14,supply,energy,2025-07-01 10:00:00,VALID
BID-00202,RES-002,DA,2025-07-02,10,100,-22.96,supply,energy,2025-07-01 10:00:00,VALID
BID-00203,RES-002,DA,2025-07-02,11,100,-2.42,supply,energy,2025-07-01 10:00:00,VALID
BID-00204,RES-002,DA,2025-07-02,12,100,91.75,supply,energy,2025-07-01 10:00:00,VALID
BID-00205,RES-002,DA,2025-07-02,13,100,-2.0,supply,energy,2025-07-01 10:00:00,VALID
BID-00206,RES-002,DA,2025-07-02,14,100,86.59,supply,energy,2025-07-01 10:00:00,VALID
BID-00207,RES-002,DA,2025-07-02,15,100,64.89,supply,energy,2025-07-01 10:00:00,VALID
BID-00208,RES-002,DA,2025-07-02,16,100,92.34,supply,energy,2025-07-01 10:00:00,VALID
BID-00209,RES-002,DA,2025-07-02,17,100,10.84,supply,energy,2025-07-01 10:00:00,VALID
BID-00210,RES-002,DA,2025-07-02,18,100,28.3,supply,energy,2025-07-01 10:00:00,VALID
BID-00211,RES-002,DA,2025-07-02,19,100,-45.18,supply,energy,2025-07-01 10:00:00,VALID
BID-00212,RES-002,DA,2025-07-02,20,100,-27.71,supply,energy,2025-07-01 10:00:00,VALID
BID-00213,RES-002,DA,2025-07-02,21,100,36.78,supply,energy,2025-07-01 10:00:00,VALID
BID-00214,RES-002,DA,2025-07-02,22,100,-45.37,supply,energy,2025-07-01 10:00:00,VALID
BID-00215,RES-002,DA,2025-07-02,23,100,-44.54,supply,energy,2025-07-01 10:00:00,VALID
BID-00216,RES-002,DA,2025-07-02,24,100,-20.13,supply,energy,2025-07-01 10:00:00,VALID
BID-00217,RES-002,DA,2025-07-03,1,100,13.71,supply,energy,2025-07-02 10:00:00,VALID
BID-00218,RES-002,DA,2025-07-03,2,100,-27.33,supply,energy,2025-07-02 10:00:00,VALID
BID-00219,RES-002,DA,2025-07-03,3,100,30.65,supply,energy,2025-07-02 10:00:00,VALID
BID-00220,RES-002,DA,2025-07-03,4,100,-43.21,supply,energy,2025-07-02 10:00:00,VALID
BID-00221,RES-002,DA,2025-07-03,5,100,2.24,supply,energy,2025-07-02 10:00:00,VALID
BID-00222,RES-002,DA,2025-07-03,6,100,2.47,supply,energy,2025-07-02 10:00:00,VALID
BID-00223,RES-002,DA,2025-07-03,7,100,-3.46,supply,energy,2025-07-02 10:00:00,VALID
BID-00224,RES-002,DA,2025-07-03,8,100,-6.67,supply,energy,2025-07-02 10:00:00,VALID
BID-00225,RES-002,DA,2025-07-03,9,100,21.06,supply,energy,2025-07-02 10:00:00,VALID
BID-00226,RES-002,DA,2025-07-03,10,100,-29.0,supply,energy,2025-07-02 10:00:00,VALID
BID-00227,RES-002,DA,2025-07-03,11,100,35.84,supply,energy,2025-07-02 10:00:00,VALID
BID-00228,RES-002,DA,2025-07-03,12,100,48.66,supply,energy,2025-07-02 10:00:00,VALID
BID-00229,RES-002,DA,2025-07-03,13,100,41.3,supply,energy,2025-07-02 10:00:00,VALID
BID-00230,RES-002,DA,2025-07-03,14,100,4.21,supply,energy,2025-07-02 10:00:00,VALID
BID-00231,RES-002,DA,2025-07-03,15,100,13.57,supply,energy,2025-07-02 10:00:00,VALID
BID-00232,RES-002,DA,2025-07-03,16,100,90.96,supply,energy,2025-07-02 10:00:00,VALID
BID-00233,RES-002,DA,2025-07-03,17,100,48.61,supply,energy,2025-07-02 10:00:00,VALID
BID-00234,RES-002,DA,2025-07-03,18,100,8.7,supply,energy,2025-07-02 10:00:00,VALID
BID-00235,RES-002,DA,2025-07-03,19,100,6.28,supply,energy,2025-07-02 10:00:00,VALID
BID-00236,RES-002,DA,2025-07-03,20,100,-29.53,supply,energy,2025-07-02 10:00:00,VALID
BID-00237,RES-002,DA,2025-07-03,21,100,79.03,supply,energy,2025-07-02 10:00:00,VALID
BID-00238,RES-002,DA,2025-07-03,22,100,85.39,supply,energy,2025-07-02 10:00:00,VALID
BID-00239,RES-002,DA,2025-07-03,23,100,31.74,supply,energy,2025-07-02 10:00:00,VALID
BID-00240,RES-002,DA,2025-07-03,24,100,60.47,supply,energy,2025-07-02 10:00:00,VALID
BID-00241,RES-002,DA,2025-07-04,1,100,70.13,supply,energy,2025-07-03 10:00:00,VALID
BID-00242,RES-002,DA,2025-07-04,2,100,87.14,supply,energy,2025-07-03 10:00:00,VALID
BID-00243,RES-002,DA,2025-07-04,3,100,25.14,supply,energy,2025-07-03 10:00:00,VALID
BID-00244,RES-002,DA,2025-07-04,4,100,90.69,supply,energy,2025-07-03 10:00:00,VALID
BID-00245,RES-002,DA,2025-07-04,5,100,72.9,supply,energy,2025-07-03 10:00:00,VALID
BID-00246,RES-002,DA,2025-07-04,6,100,-31.73,supply,energy,2025-07-03 10:00:00,VALID
BID-00247,RES-002,DA,2025-07-04,7,100,26.49,supply,energy,2025-07-03 10:00:00,VALID
BID-00248,RES-002,DA,2025-07-04,8,100,72.78,supply,energy,2025-07-03 10:00:00,VALID
BID-00249,RES-002,DA,2025-07-04,9,100,99.8,supply,energy,2025-07-03 10:00:00,VALID
BID-00250,RES-002,DA,2025-07-04,10,100,0.96,supply,energy,2025-07-03 10:00:00,VALID
BID-00251,RES-002,DA,2025-07-04,11,100,-14.59,supply,energy,2025-07-03 10:00:00,VALID
BID-00252,RES-002,DA,2025-07-04,12,100,45.64,supply,energy,2025-07-03 10:00:00,VALID
BID-00253,RES-002,DA,2025-07-04,13,100,-46.1,supply,energy,2025-07-03 10:00:00,VALID
BID-00254,RES-002,DA,2025-07-04,14,100,-38.8,supply,energy,2025-07-03 10:00:00,VALID
BID-00255,RES-002,DA,2025-07-04,15,100,63.38,supply,energy,2025-07-03 10:00:00,VALID
BID-00256,RES-002,DA,2025-07-04,16,100,80.61,supply,energy,2025-07-03 10:00:00,VALID
BID-00257,RES-002,DA,2025-07-04,17,100,76.54,supply,energy,2025-07-03 10:00:00,VALID
BID-00258,RES-002,DA,2025-07-04,18,100,30.81,supply,energy,2025-07-03 10:00:00,VALID
BID-00259,RES-002,DA,2025-07-04,19,100,85.83,supply,energy,2025-07-03 10:00:00,VALID
BID-00260,RES-002,DA,2025-07-04,20,100,94.58,supply,energy,2025-07-03 10:00:00,VALID
BID-00261,RES-002,DA,2025-07-04,21,100,43.3,supply,energy,2025-07-03 10:00:00,VALID
BID-00262,RES-002,DA,2025-07-04,22,100,51.0,supply,energy,2025-07-03 10:00:00,VALID
BID-00263,RES-002,DA,2025-07-04,23,100,85.54,supply,energy,2025-07-03 10:00:00,VALID
