alert_id,rule_id,resource_id,triggered_at,operating_date,hour_ending,severity,message,details_json,status,acknowledged_by,acknowledged_at,resolved_by,resolved_at,resolution_notes,market
7f4e19c9-b9d3-4f13-9d51-12e6827b5d07,E1,RES-002,2026-08-14 20:30:37.532218,2025-07-07,15.0,RED,Burns Battery: Generating 54.0 MW at LMP $-20.19 with SOC at 0.0%,"{""actual_mw"": 54.04, ""da_lmp"": -20.19, ""soc_pct"": 0.0}",OPEN,,,,,,DA
bcda1358-ee27-4bf4-b3ad-3ba0b15f1711,E1,RES-003,2026-08-14 20:30:37.532218,2025-07-03,13.0,RED,Shelbyville Sun & Store: Generating 35.7 MW at LMP $-22.21 with SOC at 0.0%,"{""actual_mw"": 35.67, ""da_lmp"": -22.21, ""soc_pct"": 0.0}",OPEN,,,,,,DA
bccd3cb6-5bec-49c1-8e90-f3f3f7dea9bc,E1,RES-003,2026-08-14 20:30:37.532218,2025-07-06,16.0,RED,Shelbyville Sun & Store: Generating 20.9 MW at LMP $-22.57 with SOC at 0.0%,"{""actual_mw"": 20.95, ""da_lmp"": -22.57, ""soc_pct"": 0.0}",OPEN,,,,,,DA
1f665d47-dfc6-4055-b8c7-690fb21b2495,E1,RES-004,2026-08-14 20:30:37.532218,2025-07-03,11.0,RED,Krusty's Clean Energy: Generating 26.2 MW at LMP $-20.36 with SOC at 8.0%,"{""actual_mw"": 26.16, ""da_lmp"": -20.36, ""soc_pct"": 8.0}",OPEN,,,,,,DA
ea1c01f1-efe9-4ea1-baa5-f3dd03bd6270,E1,RES-004,2026-08-14 20:30:37.532218,2025-07-03,14.0,RED,Krusty's Clean Energy: Generating 25.0 MW at LMP $-28.72 with SOC at 0.0%,"{""actual_mw"": 25.0, ""da_lmp"": -28.72, ""soc_pct"": 0.0}",OPEN,,,,,,DA
9c06755a-7657-4712-9c17-19a5fc871833,E1,RES-004,2026-08-14 20:30:37.532218,2025-07-03,15.0,RED,Krusty's Clean Energy: Generating 26.3 MW at LMP $-24.82 with SOC at 0.0%,"{""actual_mw"": 26.32, ""da_lmp"": -24.82, ""soc_pct"": 0.0}",OPEN,,,,,,DA
07979bad-6839-4473-a1b6-79cbbb1875f0,E1,RES-004,2026-08-14 20:30:37.532218,2025-07-06,12.0,RED,Krusty's Clean Energy: Generating 30.1 MW at LMP $-23.64 with SOC at 0.0%,"{""actual_mw"": 30.15, ""da_lmp"": -23.64, ""soc_pct"": 0.0}",OPEN,,,,,,DA
392d3936-4bd1-4d58-a91c-ebd6d3b019c5,E4,RES-002,2026-08-14 20:30:37.532218,2025-07-04,,RED,Burns Battery: No DA bid submitted for 2025-07-04,"{""operating_date"": ""2025-07-04""}",OPEN,,,,,,DA
ffec7f15-de6d-4ee6-a129-20ce6ed69f59,D1,RES-002,2026-08-14 20:30:37.532218,2025-07-07,17.0,RED,Burns Battery: Meter (99.7 MW) deviates from dispatch (75.8 MW) by +23.9 MW,"{""actual_mw"": 99.71, ""instructed_mw"": 75.8, ""deviation_mw"": 23.9}",OPEN,,,,,,RT
5977e10f-f1a5-4aff-ad9c-674a1c7e54c9,D1,RES-002,2026-08-14 20:30:37.532218,2025-07-07,18.0,RED,Burns Battery: Meter (106.8 MW) deviates from dispatch (82.8 MW) by +24.0 MW,"{""actual_mw"": 106.85, ""instructed_mw"": 82.8, ""deviation_mw"": 24.0}",OPEN,,,,,,RT
03dbaf91-3690-4943-97ff-0d61ab904b7b,D1,RES-002,2026-08-14 20:30:37.532218,2025-07-07,19.0,RED,Burns Battery: Meter (93.7 MW) deviates from dispatch (72.3 MW) by +21.4 MW,"{""actual_mw"": 93.74, ""instructed_mw"": 72.3, ""deviation_mw"": 21.4}",OPEN,,,,,,RT
cd24e42e-0f2b-4ad6-9b6b-04f932d35b8a,D1,RES-002,2026-08-14 20:30:37.532218,2025-07-07,20.0,RED,Burns Battery: Meter (95.6 MW) deviates from dispatch (76.5 MW) by +19.1 MW,"{""actual_mw"": 95.64, ""instructed_mw"": 76.5, ""deviation_mw"": 19.1}",OPEN,,,,,,RT
59379f10-7bc9-4719-a75e-8cb8cb2d4bc5,D1,RES-004,2026-08-14 20:30:37.532218,2025-07-03,12.0,RED,Krusty's Clean Energy: Meter (25.0 MW) deviates from dispatch (34.3 MW) by -9.3 MW,"{""actual_mw"": 25.0, ""instructed_mw"": 34.3, ""deviation_mw"": -9.3}",OPEN,,,,,,RT
e12095b2-61d6-4632-93fa-9aeb3fe9dbd1,D1,RES-004,2026-08-14 20:30:37.532218,2025-07-03,13.0,RED,Krusty's Clean Energy: Meter (25.0 MW) deviates from dispatch (32.0 MW) by -7.0 MW,"{""actual_mw"": 25.0, ""instructed_mw"": 32.0, ""deviation_mw"": -7.0}",OPEN,,,,,,RT
22db43a7-f4f0-4cb0-9969-9891b3246381,D2,RES-003,2026-08-14 20:30:37.532218,2025-07-06,18.0,YELLOW,Shelbyville Sun & Store: Dispatch 86.2 MW exceeds nameplate 75.0 MW,"{""instructed_mw"": 86.2, ""nameplate_mw"": 75.0}",OPEN,,,,,,RT
be6c62e0-919d-40f0-ab56-0fdf1bdc7e67,S2,RES-002,2026-08-14 20:30:37.532218,2025-07-01,5.0,YELLOW,Burns Battery: SOC flat at 45.0% for 27+ hours despite active awards,"{""flat_hours"": 27, ""soc_pct"": 45.0}",OPEN,,,,,,RT
5ff7d002-3803-45c9-87d3-bb20c1d9d9ad,S2,RES-002,2026-08-14 20:30:37.532218,2025-07-02,9.0,YELLOW,Burns Battery: SOC flat at 24.4% for 8+ hours despite active awards,"{""flat_hours"": 8, ""soc_pct"": 24.4}",OPEN,,,,,,RT
9f68021d-a8aa-45af-ace9-64807f5638ba,S2,RES-002,2026-08-14 20:30:37.532218,2025-07-02,20.0,YELLOW,Burns Battery: SOC flat at 0.1% for 39+ hours despite active awards,"{""flat_hours"": 39, ""soc_pct"": 0.1}",OPEN,,,,,,RT
ccf486c0-b74a-47fb-bfbf-29d527e3c695,S2,RES-002,2026-08-14 20:30:37.532218,2025-07-04,13.0,YELLOW,Burns Battery: SOC flat at 0.1% for 7+ hours despite active awards,"{""flat_hours"": 7, ""soc_pct"": 0.1}",OPEN,,,,,,RT
87e503b0-962b-462a-8e0f-bf984f2f36c3,S2,RES-003,2026-08-14 20:30:37.532218,2025-07-01,10.0,YELLOW,Shelbyville Sun & Store: SOC flat at 0.1% for 53+ hours despite active awards,"{""flat_hours"": 53, ""soc_pct"": 0.1}",OPEN,,,,,,RT
9ff3bd12-c3aa-4126-9545-fd7b4f51d122,S2,RES-003,2026-08-14 20:30:37.532218,2025-07-03,17.0,YELLOW,Shelbyville Sun & Store: SOC flat at 0.1% for 5+ hours despite active awards,"{""flat_hours"": 5, ""soc_pct"": 0.1}",OPEN,,,,,,RT
89c31141-c69b-4d47-ab4b-5c13cd3b7b7a,S2,RES-003,2026-08-14 20:30:37.532218,2025-07-04,4.0,YELLOW,Shelbyville Sun & Store: SOC flat at 0.1% for 65+ hours despite active awards,"{""flat_hours"": 65, ""soc_pct"": 0.1}",OPEN,,,,,,RT
fc2172d0-a422-4dbd-b4ac-95bc017e6825,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-01,9.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 15+ hours despite active awards,"{""flat_hours"": 15, ""soc_pct"": 0.1}",OPEN,,,,,,RT
55b1772b-8c94-4f8d-8758-7523b083b3af,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-02,2.0,YELLOW,Krusty's Clean Energy: SOC flat at 8.0% for 33+ hours despite active awards,"{""flat_hours"": 33, ""soc_pct"": 8.0}",OPEN,,,,,,RT
b2fe82e1-7eba-48ff-9642-94b4a9e354c4,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-03,13.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 9+ hours despite active awards,"{""flat_hours"": 9, ""soc_pct"": 0.1}",OPEN,,,,,,RT
8ca79755-99a6-48b0-a299-2571feb6c319,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-03,24.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 4+ hours despite active awards,"{""flat_hours"": 4, ""soc_pct"": 0.1}",OPEN,,,,,,RT
6d865b20-351e-4b53-9e02-52c6ff687200,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-04,6.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 17+ hours despite active awards,"{""flat_hours"": 17, ""soc_pct"": 0.1}",OPEN,,,,,,RT
2034f1fb-25fe-4e41-b9fc-37e8cf06b1c5,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-05,1.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 36+ hours despite active awards,"{""flat_hours"": 36, ""soc_pct"": 0.1}",OPEN,,,,,,RT
aa8b22f2-004f-47c3-bce2-65ce107515d2,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-06,15.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 9+ hours despite active awards,"{""flat_hours"": 9, ""soc_pct"": 0.1}",OPEN,,,,,,RT
c5b0332e-b0fb-4597-8ad4-09ccf61fa2a2,S2,RES-004,2026-08-14 20:30:37.532218,2025-07-07,2.0,YELLOW,Krusty's Clean Energy: SOC flat at 0.1% for 19+ hours despite active awards,"{""flat_hours"": 19, ""soc_pct"": 0.1}",OPEN,,,,,,RT
ALT-E5-dce8027b,E5,RES-001,2025-07-05T10:15:00,2025-07-05,10.0,YELLOW,DA award (12.5 MW) exceeds bid (9.9 MW) by 26% for HE10,"{""bid_mw"": 9.9, ""awarded_mw"": 12.5, ""pct_over"": 26.3, ""clearing_price"": 52.10}",OPEN,,,,,,DA
ALT-E5-5ce44e46,E5,RES-001,2025-07-05T11:15:00,2025-07-05,11.0,YELLOW,DA award (13.2 MW) exceeds bid (9.9 MW) by 33% for HE11,"{""bid_mw"": 9.9, ""awarded_mw"": 13.2, ""pct_over"": 33.3, ""clearing_price"": 55.40}",OPEN,,,,,,DA
ALT-E5-28f7eb1a,E5,RES-003,2025-07-06T14:15:00,2025-07-06,14.0,YELLOW,DA award (88.5 MW) exceeds bid (75.0 MW) by 18% for HE14,"{""bid_mw"": 75.0, ""awarded_mw"": 88.5, ""pct_over"": 18.0, ""clearing_price"": 61.20}",OPEN,,,,,,DA
