resource_id,operating_date,hour_ending,ver_mw
RES-001,2025-07-04,13,45.2
RES-001,2025-07-04,14,39.7
RES-001,2025-07-04,15,38.8
RES-001,2025-07-04,16,27.8
RES-001,2025-07-04,17,19.3
RES-001,2025-07-04,18,14.3
RES-001,2025-07-04,19,4.9
RES-001,2025-07-04,20,0.0
RES-001,2025-07-04,21,0.0
RES-001,2025-07-04,22,0.0
RES-001,2025-07-04,23,0.0
RES-001,2025-07-04,24,0.0
RES-001,2025-07-05,1,0.0
RES-001,2025-07-05,2,0.0
RES-001,2025-07-05,3,0.0
RES-001,2025-07-05,4,0.0
RES-001,2025-07-05,5,0.0
RES-001,2025-07-05,6,0.0
RES-001,2025-07-05,7,3.8
RES-001,2025-07-05,8,10.1
RES-001,2025-07-05,9,21.3
RES-001,2025-07-05,10,32.1
RES-001,2025-07-05,11,36.8
RES-001,2025-07-05,12,45.8
RES-001,2025-07-05,13,35.5
RES-001,2025-07-05,14,39.0
RES-001,2025-07-05,15,33.0
RES-001,2025-07-05,16,28.8
RES-001,2025-07-05,17,17.8
RES-001,2025-07-05,18,14.1
RES-001,2025-07-05,19,4.0
RES-001,2025-07-05,20,0.0
RES-001,2025-07-05,21,0.0
RES-001,2025-07-05,22,0.0
RES-001,2025-07-05,23,0.0
RES-001,2025-07-05,24,0.0
RES-001,2025-07-06,1,0.0
RES-001,2025-07-06,2,0.0
RES-001,2025-07-06,3,0.0
RES-001,2025-07-06,4,0.0
RES-001,2025-07-06,5,0.0
RES-001,2025-07-06,6,0.0
RES-001,2025-07-06,7,5.2
RES-001,2025-07-06,8,12.4
RES-001,2025-07-06,9,24.1
RES-001,2025-07-06,10,24.3
RES-001,2025-07-06,11,39.5
RES-001,2025-07-06,12,46.7
RES-001,2025-07-06,13,37.1
RES-001,2025-07-06,14,35.1
RES-001,2025-07-06,15,35.4
RES-001,2025-07-06,16,33.9
RES-001,2025-07-06,17,21.2
RES-001,2025-07-06,18,12.3
RES-001,2025-07-06,19,3.9
RES-001,2025-07-06,20,0.0
RES-001,2025-07-06,21,0.0
RES-001,2025-07-06,22,0.0
RES-001,2025-07-06,23,0.0
RES-001,2025-07-06,24,0.0
RES-001,2025-07-07,1,0.0
RES-001,2025-07-07,2,0.0
RES-001,2025-07-07,3,0.0
RES-001,2025-07-07,4,0.0
RES-001,2025-07-07,5,0.0
RES-001,2025-07-07,6,0.0
RES-001,2025-07-07,7,3.8
RES-001,2025-07-07,8,12.7
RES-001,2025-07-07,9,24.0
RES-001,2025-07-07,10,26.4
RES-001,2025-07-07,11,38.5
RES-001,2025-07-07,12,34.8
RES-001,2025-07-07,13,44.1
RES-001,2025-07-07,14,36.1
RES-001,2025-07-07,15,39.4
RES-001,2025-07-07,16,27.3
RES-001,2025-07-07,17,20.7
RES-001,2025-07-07,18,12.6
RES-001,2025-07-07,19,3.9
RES-001,2025-07-07,20,0.0
RES-001,2025-07-07,21,0.0
RES-001,2025-07-07,22,0.0
RES-001,2025-07-07,23,0.0
RES-001,2025-07-07,24,0.0
RES-003,2025-07-01,1,0.0
RES-003,2025-07-01,2,0.0
RES-003,2025-07-01,3,0.0
RES-003,2025-07-01,4,0.0
RES-003,2025-07-01,5,0.0
RES-003,2025-07-01,6,0.0
RES-003,2025-07-01,7,7.1
RES-003,2025-07-01,8,16.0
RES-003,2025-07-01,9,33.5
RES-003,2025-07-01,10,38.3
RES-003,2025-07-01,11,53.1
RES-003,2025-07-01,12,55.9
RES-003,2025-07-01,13,69.3
RES-003,2025-07-01,14,56.2
RES-003,2025-07-01,15,61.9
RES-003,2025-07-01,16,50.2
RES-003,2025-07-01,17,28.0
RES-003,2025-07-01,18,19.0
RES-003,2025-07-01,19,5.7
RES-003,2025-07-01,20,0.0
RES-003,2025-07-01,21,0.0
RES-003,2025-07-01,22,0.0
RES-003,2025-07-01,23,0.0
RES-003,2025-07-01,24,0.0
RES-003,2025-07-02,1,0.0
RES-003,2025-07-02,2,0.0
RES-003,2025-07-02,3,0.0
RES-003,2025-07-02,4,0.0
RES-003,2025-07-02,5,0.0
RES-003,2025-07-02,6,0.0
RES-003,2025-07-02,7,7.1
RES-003,2025-07-02,8,19.0
RES-003,2025-07-02,9,29.0
RES-003,2025-07-02,10,42.2
RES-003,2025-07-02,11,46.9
RES-003,2025-07-02,12,66.1
RES-003,2025-07-02,13,63.8
RES-003,2025-07-02,14,65.9
RES-003,2025-07-02,15,49.7
RES-003,2025-07-02,16,41.3
RES-003,2025-07-02,17,29.5
RES-003,2025-07-02,18,15.2
RES-003,2025-07-02,19,6.3
RES-003,2025-07-02,20,0.0
RES-003,2025-07-02,21,0.0
RES-003,2025-07-02,22,0.0
RES-003,2025-07-02,23,0.0
RES-003,2025-07-02,24,0.0
RES-003,2025-07-03,1,0.0
RES-003,2025-07-03,2,0.0
RES-003,2025-07-03,3,0.0
RES-003,2025-07-03,4,0.0
RES-003,2025-07-03,5,0.0
RES-003,2025-07-03,6,0.0
RES-003,2025-07-03,7,6.7
RES-003,2025-07-03,8,17.9
RES-003,2025-07-03,9,26.2
RES-003,2025-07-03,10,50.0
RES-003,2025-07-03,11,45.1
RES-003,2025-07-03,12,71.0
RES-003,2025-07-03,13,63.5
RES-003,2025-07-03,14,57.9
RES-003,2025-07-03,15,62.7
RES-003,2025-07-03,16,36.7
RES-003,2025-07-03,17,32.3
RES-003,2025-07-03,18,18.5
RES-003,2025-07-03,19,6.0
RES-003,2025-07-03,20,0.0
RES-003,2025-07-03,21,0.0
RES-003,2025-07-03,22,0.0
RES-003,2025-07-03,23,0.0
RES-003,2025-07-03,24,0.0
RES-003,2025-07-04,1,0.0
RES-003,2025-07-04,2,0.0
RES-003,2025-07-04,3,0.0
RES-003,2025-07-04,4,0.0
RES-003,2025-07-04,5,0.0
RES-003,2025-07-04,6,0.0
RES-003,2025-07-04,7,7.2
RES-003,2025-07-04,8,15.0
RES-003,2025-07-04,9,36.2
RES-003,2025-07-04,10,38.9
RES-003,2025-07-04,11,49.4
RES-003,2025-07-04,12,56.2
RES-003,2025-07-04,13,53.4
RES-003,2025-07-04,14,53.2
RES-003,2025-07-04,15,63.9
RES-003,2025-07-04,16,41.2
RES-003,2025-07-04,17,27.1
RES-003,2025-07-04,18,15.7
RES-003,2025-07-04,19,7.2
RES-003,2025-07-04,20,0.0
RES-003,2025-07-04,21,0.0
RES-003,2025-07-04,22,0.0
RES-003,2025-07-04,23,0.0
RES-003,2025-07-04,24,0.0
RES-003,2025-07-05,1,0.0
RES-003,2025-07-05,2,0.0
RES-003,2025-07-05,3,0.0
RES-003,2025-07-05,4,0.0
RES-003,2025-07-05,5,0.0
RES-003,2025-07-05,6,0.0
RES-003,2025-07-05,7,5.6
RES-003,2025-07-05,8,16.4
RES-003,2025-07-05,9,26.5
RES-003,2025-07-05,10,37.9
RES-003,2025-07-05,11,53.2
RES-003,2025-07-05,12,55.5
RES-003,2025-07-05,13,64.1
RES-003,2025-07-05,14,56.0
RES-003,2025-07-05,15,63.0
RES-003,2025-07-05,16,50.4
RES-003,2025-07-05,17,32.1
RES-003,2025-07-05,18,17.3
RES-003,2025-07-05,19,6.4
RES-003,2025-07-05,20,0.0
RES-003,2025-07-05,21,0.0
RES-003,2025-07-05,22,0.0
RES-003,2025-07-05,23,0.0
RES-003,2025-07-05,24,0.0
RES-003,2025-07-06,1,0.0
RES-003,2025-07-06,2,0.0
RES-003,2025-07-06,3,0.0
RES-003,2025-07-06,4,0.0
RES-003,2025-07-06,5,0.0
RES-003,2025-07-06,6,0.0
RES-003,2025-07-06,7,6.6
RES-003,2025-07-06,8,20.5
RES-003,2025-07-06,9,36.3
RES-003,2025-07-06,10,41.5
RES-003,2025-07-06,11,55.7
RES-003,2025-07-06,12,52.6
RES-003,2025-07-06,13,57.0
RES-003,2025-07-06,14,59.5
RES-003,2025-07-06,15,48.9
RES-003,2025-07-06,16,49.9
RES-003,2025-07-06,17,27.6
RES-003,2025-07-06,18,17.9
RES-003,2025-07-06,19,6.9
RES-003,2025-07-06,20,0.0
RES-003,2025-07-06,21,0.0
RES-003,2025-07-06,22,0.0
RES-003,2025-07-06,23,0.0
RES-003,2025-07-06,24,0.0
RES-003,2025-07-07,1,0.0
RES-003,2025-07-07,2,0.0
RES-003,2025-07-07,3,0.0
RES-003,2025-07-07,4,0.0
RES-003,2025-07-07,5,0.0
RES-003,2025-07-07,6,0.0
RES-003,2025-07-07,7,7.6
RES-003,2025-07-07,8,18.7
RES-003,2025-07-07,9,30.7
RES-003,2025-07-07,10,37.3
RES-003,2025-07-07,11,53.8
RES-003,2025-07-07,12,68.3
RES-003,2025-07-07,13,66.3
RES-003,2025-07-07,14,68.6
RES-003,2025-07-07,15,54.4
RES-003,2025-07-07,16,38.1
RES-003,2025-07-07,17,26.0
RES-003,2025-07-07,18,17.0
RES-003,2025-07-07,19,7.2
RES-003,2025-07-07,20,0.0
RES-003,2025-07-07,21,0.0
RES-003,2025-07-07,22,0.0
RES-003,2025-07-07,23,0.0
RES-003,2025-07-07,24,0.0
RES-004,2025-07-01,1,0.0
RES-004,2025-07-01,2,0.0
RES-004,2025-07-01,3,0.0
RES-004,2025-07-01,4,0.0
RES-004,2025-07-01,5,0.0
RES-004,2025-07-01,6,0.0
RES-004,2025-07-01,7,5.3
RES-004,2025-07-01,8,14.2
RES-004,2025-07-01,9,24.3
RES-004,2025-07-01,10,31.9
RES-004,2025-07-01,11,38.0
RES-004,2025-07-01,12,43.8
RES-004,2025-07-01,13,43.0
RES-004,2025-07-01,14,43.9
RES-004,2025-07-01,15,36.1
RES-004,2025-07-01,16,36.8
RES-004,2025-07-01,17,23.5
RES-004,2025-07-01,18,17.0
RES-004,2025-07-01,19,4.8
RES-004,2025-07-01,20,0.0
RES-004,2025-07-01,21,0.0
RES-004,2025-07-01,22,0.0
RES-004,2025-07-01,23,0.0
RES-004,2025-07-01,24,0.0
RES-004,2025-07-02,1,0.0
RES-004,2025-07-02,2,0.0
RES-004,2025-07-02,3,0.0
RES-004,2025-07-02,4,0.0
RES-004,2025-07-02,5,0.0
RES-004,2025-07-02,6,0.0
RES-004,2025-07-02,7,4.4
RES-004,2025-07-02,8,16.3
RES-004,2025-07-02,9,21.0
RES-004,2025-07-02,10,40.7
RES-004,2025-07-02,11,49.7
RES-004,2025-07-02,12,49.7
RES-004,2025-07-02,13,51.8
RES-004,2025-07-02,14,51.8
RES-004,2025-07-02,15,41.9
RES-004,2025-07-02,16,37.1
RES-004,2025-07-02,17,21.1
RES-004,2025-07-02,18,12.3
RES-004,2025-07-02,19,5.3
RES-004,2025-07-02,20,0.0
RES-004,2025-07-02,21,0.0
RES-004,2025-07-02,22,0.0
RES-004,2025-07-02,23,0.0
RES-004,2025-07-02,24,0.0
RES-004,2025-07-03,1,0.0
RES-004,2025-07-03,2,0.0
RES-004,2025-07-03,3,0.0
RES-004,2025-07-03,4,0.0
RES-004,2025-07-03,5,0.0
RES-004,2025-07-03,6,0.0
RES-004,2025-07-03,7,4.6
RES-004,2025-07-03,8,16.2
RES-004,2025-07-03,9,22.5
RES-004,2025-07-03,10,33.9
RES-004,2025-07-03,11,40.8
RES-004,2025-07-03,12,47.4
RES-004,2025-07-03,13,44.7
RES-004,2025-07-03,14,49.2
RES-004,2025-07-03,15,48.3
RES-004,2025-07-03,16,34.5
RES-004,2025-07-03,17,25.0
RES-004,2025-07-03,18,16.4
RES-004,2025-07-03,19,5.7
RES-004,2025-07-03,20,0.0
RES-004,2025-07-03,21,0.0
RES-004,2025-07-03,22,0.0
RES-004,2025-07-03,23,0.0
RES-004,2025-07-03,24,0.0
RES-004,2025-07-04,1,0.0
RES-004,2025-07-04,2,0.0
RES-004,2025-07-04,3,0.0
RES-004,2025-07-04,4,0.0
RES-004,2025-07-04,5,0.0
RES-004,2025-07-04,6,0.0
RES-004,2025-07-04,7,6.1
RES-004,2025-07-04,8,15.0
RES-004,2025-07-04,9,22.6
RES-004,2025-07-04,10,32.4
RES-004,2025-07-04,11,48.3
RES-004,2025-07-04,12,41.2
RES-004,2025-07-04,13,59.9
RES-004,2025-07-04,14,42.7
RES-004,2025-07-04,15,48.2
RES-004,2025-07-04,16,33.9
RES-004,2025-07-04,17,25.0
RES-004,2025-07-04,18,16.5
RES-004,2025-07-04,19,5.2
RES-004,2025-07-04,20,0.0
RES-004,2025-07-04,21,0.0
RES-004,2025-07-04,22,0.0
RES-004,2025-07-04,23,0.0
RES-004,2025-07-04,24,0.0
RES-004,2025-07-05,1,0.0
RES-004,2025-07-05,2,0.0
RES-004,2025-07-05,3,0.0
RES-004,2025-07-05,4,0.0
RES-004,2025-07-05,5,0.0
RES-004,2025-07-05,6,0.0
RES-004,2025-07-05,7,4.4
RES-004,2025-07-05,8,13.3
RES-004,2025-07-05,9,26.7
RES-004,2025-07-05,10,30.5
RES-004,2025-07-05,11,37.7
RES-004,2025-07-05,12,47.6
RES-004,2025-07-05,13,53.7
RES-004,2025-07-05,14,52.8
RES-004,2025-07-05,15,38.7
RES-004,2025-07-05,16,30.0
RES-004,2025-07-05,17,29.0
RES-004,2025-07-05,18,13.3
RES-004,2025-07-05,19,6.0
RES-004,2025-07-05,20,0.0
RES-004,2025-07-05,21,0.0
RES-004,2025-07-05,22,0.0
RES-004,2025-07-05,23,0.0
RES-004,2025-07-05,24,0.0
RES-004,2025-07-06,1,0.0
RES-004,2025-07-06,2,0.0
RES-004,2025-07-06,3,0.0
RES-004,2025-07-06,4,0.0
RES-004,2025-07-06,5,0.0
RES-004,2025-07-06,6,0.0
RES-004,2025-07-06,7,4.7
RES-004,2025-07-06,8,16.2
RES-004,2025-07-06,9,27.5
RES-004,2025-07-06,10,36.5
RES-004,2025-07-06,11,41.1
RES-004,2025-07-06,12,45.0
RES-004,2025-07-06,13,44.2
RES-004,2025-07-06,14,49.3
RES-004,2025-07-06,15,44.9
RES-004,2025-07-06,16,33.5
RES-004,2025-07-06,17,24.9
RES-004,2025-07-06,18,13.9
RES-004,2025-07-06,19,5.6
RES-004,2025-07-06,20,0.0
RES-004,2025-07-06,21,0.0
RES-004,2025-07-06,22,0.0
RES-004,2025-07-06,23,0.0
RES-004,2025-07-06,24,0.0
RES-004,2025-07-07,1,0.0
RES-004,2025-07-07,2,0.0
RES-004,2025-07-07,3,0.0
RES-004,2025-07-07,4,0.0
RES-004,2025-07-07,5,0.0
RES-004,2025-07-07,6,0.0
RES-004,2025-07-07,7,5.1
RES-004,2025-07-07,8,12.7
RES-004,2025-07-07,9,26.2
RES-004,2025-07-07,10,38.1
RES-004,2025-07-07,11,50.3
RES-004,2025-07-07,12,45.3
RES-004,2025-07-07,13,59.1
RES-004,2025-07-07,14,41.5
RES-004,2025-07-07,15,45.2
RES-004,2025-07-07,16,29.7
RES-004,2025-07-07,17,28.6
RES-004,2025-07-07,18,14.7
RES-004,2025-07-07,19,5.7
RES-004,2025-07-07,20,0.0
RES-004,2025-07-07,21,0.0
RES-004,2025-07-07,22,0.0
RES-004,2025-07-07,23,0.0
RES-004,2025-07-07,24,0.0
KRAMER_1_R1PX3,2025-07-01,1,0.0
KRAMER_1_R1PX3,2025-07-01,2,0.0
KRAMER_1_R1PX3,2025-07-01,3,0.0
KRAMER_1_R1PX3,2025-07-01,4,0.0
KRAMER_1_R1PX3,2025-07-01,5,0.0
KRAMER_1_R1PX3,2025-07-01,6,0.0
KRAMER_1_R1PX3,2025-07-01,7,5.6
KRAMER_1_R1PX3,2025-07-01,8,20.7
KRAMER_1_R1PX3,2025-07-01,9,29.3
KRAMER_1_R1PX3,2025-07-01,10,38.3
KRAMER_1_R1PX3,2025-07-01,11,53.9
KRAMER_1_R1PX3,2025-07-01,12,63.5
KRAMER_1_R1PX3,2025-07-01,13,53.2
KRAMER_1_R1PX3,2025-07-01,14,56.5
KRAMER_1_R1PX3,2025-07-01,15,45.5
KRAMER_1_R1PX3,2025-07-01,16,42.8
KRAMER_1_R1PX3,2025-07-01,17,35.8
KRAMER_1_R1PX3,2025-07-01,18,21.3
KRAMER_1_R1PX3,2025-07-01,19,7.0
KRAMER_1_R1PX3,2025-07-01,20,0.0
KRAMER_1_R1PX3,2025-07-01,21,0.0
KRAMER_1_R1PX3,2025-07-01,22,0.0
KRAMER_1_R1PX3,2025-07-01,23,0.0
KRAMER_1_R1PX3,2025-07-01,24,0.0
KRAMER_1_R1PX3,2025-07-02,1,0.0
KRAMER_1_R1PX3,2025-07-02,2,0.0
KRAMER_1_R1PX3,2025-07-02,3,0.0
KRAMER_1_R1PX3,2025-07-02,4,0.0
KRAMER_1_R1PX3,2025-07-02,5,0.0
KRAMER_1_R1PX3,2025-07-02,6,0.0
KRAMER_1_R1PX3,2025-07-02,7,6.7
KRAMER_1_R1PX3,2025-07-02,8,16.0
KRAMER_1_R1PX3,2025-07-02,9,36.1
KRAMER_1_R1PX3,2025-07-02,10,48.1
KRAMER_1_R1PX3,2025-07-02,11,59.0
KRAMER_1_R1PX3,2025-07-02,12,65.9
KRAMER_1_R1PX3,2025-07-02,13,57.0
KRAMER_1_R1PX3,2025-07-02,14,55.1
KRAMER_1_R1PX3,2025-07-02,15,58.1
KRAMER_1_R1PX3,2025-07-02,16,39.7
KRAMER_1_R1PX3,2025-07-02,17,30.7
KRAMER_1_R1PX3,2025-07-02,18,20.0
KRAMER_1_R1PX3,2025-07-02,19,7.4
KRAMER_1_R1PX3,2025-07-02,20,0.0
KRAMER_1_R1PX3,2025-07-02,21,0.0
KRAMER_1_R1PX3,2025-07-02,22,0.0
KRAMER_1_R1PX3,2025-07-02,23,0.0
KRAMER_1_R1PX3,2025-07-02,24,0.0
KRAMER_1_R1PX3,2025-07-03,1,0.0
KRAMER_1_R1PX3,2025-07-03,2,0.0
KRAMER_1_R1PX3,2025-07-03,3,0.0
KRAMER_1_R1PX3,2025-07-03,4,0.0
KRAMER_1_R1PX3,2025-07-03,5,0.0
KRAMER_1_R1PX3,2025-07-03,6,0.0
KRAMER_1_R1PX3,2025-07-03,7,7.5
KRAMER_1_R1PX3,2025-07-03,8,19.2
KRAMER_1_R1PX3,2025-07-03,9,28.4
KRAMER_1_R1PX3,2025-07-03,10,40.6
KRAMER_1_R1PX3,2025-07-03,11,51.0
KRAMER_1_R1PX3,2025-07-03,12,53.1
KRAMER_1_R1PX3,2025-07-03,13,58.6
KRAMER_1_R1PX3,2025-07-03,14,55.1
KRAMER_1_R1PX3,2025-07-03,15,53.7
KRAMER_1_R1PX3,2025-07-03,16,50.4
KRAMER_1_R1PX3,2025-07-03,17,27.0
KRAMER_1_R1PX3,2025-07-03,18,19.6
KRAMER_1_R1PX3,2025-07-03,19,7.1
KRAMER_1_R1PX3,2025-07-03,20,0.0
KRAMER_1_R1PX3,2025-07-03,21,0.0
KRAMER_1_R1PX3,2025-07-03,22,0.0
KRAMER_1_R1PX3,2025-07-03,23,0.0
KRAMER_1_R1PX3,2025-07-03,24,0.0
KRAMER_1_R1PX3,2025-07-04,1,0.0
KRAMER_1_R1PX3,2025-07-04,2,0.0
KRAMER_1_R1PX3,2025-07-04,3,0.0
KRAMER_1_R1PX3,2025-07-04,4,0.0
KRAMER_1_R1PX3,2025-07-04,5,0.0
KRAMER_1_R1PX3,2025-07-04,6,0.0
KRAMER_1_R1PX3,2025-07-04,7,6.9
KRAMER_1_R1PX3,2025-07-04,8,17.3
KRAMER_1_R1PX3,2025-07-04,9,34.2
KRAMER_1_R1PX3,2025-07-04,10,40.3
KRAMER_1_R1PX3,2025-07-04,11,58.2
KRAMER_1_R1PX3,2025-07-04,12,51.4
KRAMER_1_R1PX3,2025-07-04,13,71.4
KRAMER_1_R1PX3,2025-07-04,14,60.2
KRAMER_1_R1PX3,2025-07-04,15,57.1
KRAMER_1_R1PX3,2025-07-04,16,39.7
KRAMER_1_R1PX3,2025-07-04,17,33.3
KRAMER_1_R1PX3,2025-07-04,18,20.0
KRAMER_1_R1PX3,2025-07-04,19,6.6
KRAMER_1_R1PX3,2025-07-04,20,0.0
KRAMER_1_R1PX3,2025-07-04,21,0.0
KRAMER_1_R1PX3,2025-07-04,22,0.0
KRAMER_1_R1PX3,2025-07-04,23,0.0
KRAMER_1_R1PX3,2025-07-04,24,0.0
KRAMER_1_R1PX3,2025-07-05,1,0.0
KRAMER_1_R1PX3,2025-07-05,2,0.0
KRAMER_1_R1PX3,2025-07-05,3,0.0
KRAMER_1_R1PX3,2025-07-05,4,0.0
KRAMER_1_R1PX3,2025-07-05,5,0.0
KRAMER_1_R1PX3,2025-07-05,6,0.0
KRAMER_1_R1PX3,2025-07-05,7,7.6
KRAMER_1_R1PX3,2025-07-05,8,18.2
KRAMER_1_R1PX3,2025-07-05,9,35.2
KRAMER_1_R1PX3,2025-07-05,10,48.8
KRAMER_1_R1PX3,2025-07-05,11,52.8
KRAMER_1_R1PX3,2025-07-05,12,55.5
KRAMER_1_R1PX3,2025-07-05,13,61.6
KRAMER_1_R1PX3,2025-07-05,14,68.4
KRAMER_1_R1PX3,2025-07-05,15,49.3
KRAMER_1_R1PX3,2025-07-05,16,44.5
KRAMER_1_R1PX3,2025-07-05,17,34.8
KRAMER_1_R1PX3,2025-07-05,18,17.3
KRAMER_1_R1PX3,2025-07-05,19,7.0
KRAMER_1_R1PX3,2025-07-05,20,0.0
KRAMER_1_R1PX3,2025-07-05,21,0.0
KRAMER_1_R1PX3,2025-07-05,22,0.0
KRAMER_1_R1PX3,2025-07-05,23,0.0
KRAMER_1_R1PX3,2025-07-05,24,0.0
KRAMER_1_R1PX3,2025-07-06,1,0.0
KRAMER_1_R1PX3,2025-07-06,2,0.0
KRAMER_1_R1PX3,2025-07-06,3,0.0
KRAMER_1_R1PX3,2025-07-06,4,0.0
KRAMER_1_R1PX3,2025-07-06,5,0.0
KRAMER_1_R1PX3,2025-07-06,6,0.0
KRAMER_1_R1PX3,2025-07-06,7,7.4
KRAMER_1_R1PX3,2025-07-06,8,15.6
KRAMER_1_R1PX3,2025-07-06,9,28.9
KRAMER_1_R1PX3,2025-07-06,10,49.6
KRAMER_1_R1PX3,2025-07-06,11,51.6
KRAMER_1_R1PX3,2025-07-06,12,71.6
KRAMER_1_R1PX3,2025-07-06,13,74.5
KRAMER_1_R1PX3,2025-07-06,14,56.3
KRAMER_1_R1PX3,2025-07-06,15,45.7
KRAMER_1_R1PX3,2025-07-06,16,47.3
KRAMER_1_R1PX3,2025-07-06,17,30.8
KRAMER_1_R1PX3,2025-07-06,18,15.7
KRAMER_1_R1PX3,2025-07-06,19,7.2
KRAMER_1_R1PX3,2025-07-06,20,0.0
KRAMER_1_R1PX3,2025-07-06,21,0.0
KRAMER_1_R1PX3,2025-07-06,22,0.0
KRAMER_1_R1PX3,2025-07-06,23,0.0
KRAMER_1_R1PX3,2025-07-06,24,0.0
KRAMER_1_R1PX3,2025-07-07,1,0.0
KRAMER_1_R1PX3,2025-07-07,2,0.0
KRAMER_1_R1PX3,2025-07-07,3,0.0
KRAMER_1_R1PX3,2025-07-07,4,0.0
KRAMER_1_R1PX3,2025-07-07,5,0.0
KRAMER_1_R1PX3,2025-07-07,6,0.0
KRAMER_1_R1PX3,2025-07-07,7,5.8
KRAMER_1_R1PX3,2025-07-07,8,15.8
KRAMER_1_R1PX3,2025-07-07,9,27.8
KRAMER_1_R1PX3,2025-07-07,10,51.2
KRAMER_1_R1PX3,2025-07-07,11,58.2
KRAMER_1_R1PX3,2025-07-07,12,67.9
KRAMER_1_R1PX3,2025-07-07,13,61.4
KRAMER_1_R1PX3,2025-07-07,14,57.8
KRAMER_1_R1PX3,2025-07-07,15,49.4
KRAMER_1_R1PX3,2025-07-07,16,43.8
KRAMER_1_R1PX3,2025-07-07,17,32.0
KRAMER_1_R1PX3,2025-07-07,18,19.1
KRAMER_1_R1PX3,2025-07-07,19,6.1
KRAMER_1_R1PX3,2025-07-07,20,0.0
KRAMER_1_R1PX3,2025-07-07,21,0.0
KRAMER_1_R1PX3,2025-07-07,22,0.0
KRAMER_1_R1PX3,2025-07-07,23,0.0
KRAMER_1_R1PX3,2025-07-07,24,0.0
RSMNDS_2_CSRSR1,2025-07-01,1,0.0
RSMNDS_2_CSRSR1,2025-07-01,2,0.0
RSMNDS_2_CSRSR1,2025-07-01,3,0.0
RSMNDS_2_CSRSR1,2025-07-01,4,0.0
RSMNDS_2_CSRSR1,2025-07-01,5,0.0
RSMNDS_2_CSRSR1,2025-07-01,6,0.0
RSMNDS_2_CSRSR1,2025-07-01,7,7.8
RSMNDS_2_CSRSR1,2025-07-01,8,15.1
RSMNDS_2_CSRSR1,2025-07-01,9,31.2
RSMNDS_2_CSRSR1,2025-07-01,10,41.5
RSMNDS_2_CSRSR1,2025-07-01,11,53.5
RSMNDS_2_CSRSR1,2025-07-01,12,62.9
