node,operating_date,hour_ending,forecast_lmp,actual_rt_lmp
BURNS_1_BESS,2025-07-05,16,18.63,31.28
BURNS_1_BESS,2025-07-05,17,51.04,34.25
BURNS_1_BESS,2025-07-05,18,34.08,36.42
BURNS_1_BESS,2025-07-05,19,184.74,215.32
BURNS_1_BESS,2025-07-05,20,201.07,224.56
BURNS_1_BESS,2025-07-05,21,5.07,6.13
BURNS_1_BESS,2025-07-05,22,14.69,14.77
BURNS_1_BESS,2025-07-05,23,-10.89,9.15
BURNS_1_BESS,2025-07-05,24,4.62,1.98
BURNS_1_BESS,2025-07-06,1,30.91,24.45
BURNS_1_BESS,2025-07-06,2,33.52,14.03
BURNS_1_BESS,2025-07-06,3,-48.25,-50.79
BURNS_1_BESS,2025-07-06,4,36.89,4.49
BURNS_1_BESS,2025-07-06,5,29.0,0.17
BURNS_1_BESS,2025-07-06,6,57.25,16.86
BURNS_1_BESS,2025-07-06,7,40.67,21.54
BURNS_1_BESS,2025-07-06,8,56.35,19.92
BURNS_1_BESS,2025-07-06,9,31.57,18.44
BURNS_1_BESS,2025-07-06,10,61.72,56.58
BURNS_1_BESS,2025-07-06,11,-26.52,-17.72
BURNS_1_BESS,2025-07-06,12,75.2,81.63
BURNS_1_BESS,2025-07-06,13,65.59,48.27
BURNS_1_BESS,2025-07-06,14,24.94,35.95
BURNS_1_BESS,2025-07-06,15,14.31,36.13
BURNS_1_BESS,2025-07-06,16,78.67,70.82
BURNS_1_BESS,2025-07-06,17,34.23,38.38
BURNS_1_BESS,2025-07-06,18,49.44,69.77
BURNS_1_BESS,2025-07-06,19,7.81,-12.78
BURNS_1_BESS,2025-07-06,20,8.51,19.5
BURNS_1_BESS,2025-07-06,21,13.47,-11.36
BURNS_1_BESS,2025-07-06,22,4.16,-16.83
BURNS_1_BESS,2025-07-06,23,-22.91,16.72
BURNS_1_BESS,2025-07-06,24,1.4,40.0
BURNS_1_BESS,2025-07-07,1,1.48,18.38
BURNS_1_BESS,2025-07-07,2,-31.68,-50.45
BURNS_1_BESS,2025-07-07,3,3.39,13.77
BURNS_1_BESS,2025-07-07,4,25.42,46.21
BURNS_1_BESS,2025-07-07,5,9.3,3.23
BURNS_1_BESS,2025-07-07,6,44.01,42.99
BURNS_1_BESS,2025-07-07,7,31.21,38.24
BURNS_1_BESS,2025-07-07,8,25.75,39.53
BURNS_1_BESS,2025-07-07,9,28.6,27.56
BURNS_1_BESS,2025-07-07,10,43.36,59.76
BURNS_1_BESS,2025-07-07,11,61.37,66.77
BURNS_1_BESS,2025-07-07,12,54.65,65.23
BURNS_1_BESS,2025-07-07,13,47.07,33.18
BURNS_1_BESS,2025-07-07,14,43.14,54.74
BURNS_1_BESS,2025-07-07,15,60.63,27.71
BURNS_1_BESS,2025-07-07,16,22.8,44.99
BURNS_1_BESS,2025-07-07,17,35.43,45.0
BURNS_1_BESS,2025-07-07,18,31.25,30.73
BURNS_1_BESS,2025-07-07,19,13.17,18.29
BURNS_1_BESS,2025-07-07,20,32.63,15.04
BURNS_1_BESS,2025-07-07,21,23.24,15.27
BURNS_1_BESS,2025-07-07,22,10.12,-12.14
BURNS_1_BESS,2025-07-07,23,4.08,19.83
BURNS_1_BESS,2025-07-07,24,21.14,22.93
SHELBY_2_HYBRD,2025-07-01,1,-14.4,-2.07
SHELBY_2_HYBRD,2025-07-01,2,19.0,20.52
SHELBY_2_HYBRD,2025-07-01,3,17.02,31.82
SHELBY_2_HYBRD,2025-07-01,4,9.51,33.91
SHELBY_2_HYBRD,2025-07-01,5,14.44,42.17
SHELBY_2_HYBRD,2025-07-01,6,44.78,37.96
SHELBY_2_HYBRD,2025-07-01,7,35.08,26.74
SHELBY_2_HYBRD,2025-07-01,8,18.94,12.78
SHELBY_2_HYBRD,2025-07-01,9,40.4,22.58
SHELBY_2_HYBRD,2025-07-01,10,53.94,50.48
SHELBY_2_HYBRD,2025-07-01,11,51.27,49.84
SHELBY_2_HYBRD,2025-07-01,12,48.09,35.96
SHELBY_2_HYBRD,2025-07-01,13,54.93,58.94
SHELBY_2_HYBRD,2025-07-01,14,58.94,83.31
SHELBY_2_HYBRD,2025-07-01,15,21.64,29.55
SHELBY_2_HYBRD,2025-07-01,16,29.85,25.84
SHELBY_2_HYBRD,2025-07-01,17,32.94,31.39
SHELBY_2_HYBRD,2025-07-01,18,35.04,22.52
SHELBY_2_HYBRD,2025-07-01,19,31.44,30.47
SHELBY_2_HYBRD,2025-07-01,20,24.87,17.79
SHELBY_2_HYBRD,2025-07-01,21,17.18,-4.85
SHELBY_2_HYBRD,2025-07-01,22,18.47,55.09
SHELBY_2_HYBRD,2025-07-01,23,-1.07,-1.27
SHELBY_2_HYBRD,2025-07-01,24,10.05,17.88
SHELBY_2_HYBRD,2025-07-02,1,-15.75,-1.47
SHELBY_2_HYBRD,2025-07-02,2,-0.75,-12.07
SHELBY_2_HYBRD,2025-07-02,3,13.73,7.33
SHELBY_2_HYBRD,2025-07-02,4,9.13,18.18
SHELBY_2_HYBRD,2025-07-02,5,-17.91,-23.03
SHELBY_2_HYBRD,2025-07-02,6,44.48,47.21
SHELBY_2_HYBRD,2025-07-02,7,53.76,31.44
SHELBY_2_HYBRD,2025-07-02,8,11.16,30.55
SHELBY_2_HYBRD,2025-07-02,9,51.37,51.12
SHELBY_2_HYBRD,2025-07-02,10,66.21,62.98
SHELBY_2_HYBRD,2025-07-02,11,60.03,64.1
SHELBY_2_HYBRD,2025-07-02,12,65.11,78.21
SHELBY_2_HYBRD,2025-07-02,13,49.72,50.04
SHELBY_2_HYBRD,2025-07-02,14,38.89,47.85
SHELBY_2_HYBRD,2025-07-02,15,73.79,43.96
SHELBY_2_HYBRD,2025-07-02,16,50.75,37.79
SHELBY_2_HYBRD,2025-07-02,17,35.84,54.64
SHELBY_2_HYBRD,2025-07-02,18,30.23,32.61
SHELBY_2_HYBRD,2025-07-02,19,18.83,12.11
SHELBY_2_HYBRD,2025-07-02,20,4.56,20.21
SHELBY_2_HYBRD,2025-07-02,21,34.05,21.96
SHELBY_2_HYBRD,2025-07-02,22,40.03,3.15
SHELBY_2_HYBRD,2025-07-02,23,12.24,18.57
SHELBY_2_HYBRD,2025-07-02,24,13.53,2.07
SHELBY_2_HYBRD,2025-07-03,1,16.59,9.67
SHELBY_2_HYBRD,2025-07-03,2,-10.91,-33.63
SHELBY_2_HYBRD,2025-07-03,3,8.42,15.93
SHELBY_2_HYBRD,2025-07-03,4,25.4,-11.84
SHELBY_2_HYBRD,2025-07-03,5,24.26,47.49
SHELBY_2_HYBRD,2025-07-03,6,21.62,-17.46
SHELBY_2_HYBRD,2025-07-03,7,42.87,32.05
SHELBY_2_HYBRD,2025-07-03,8,25.46,40.42
SHELBY_2_HYBRD,2025-07-03,9,55.2,38.12
SHELBY_2_HYBRD,2025-07-03,10,39.65,47.61
SHELBY_2_HYBRD,2025-07-03,11,59.01,54.33
SHELBY_2_HYBRD,2025-07-03,12,37.78,62.63
SHELBY_2_HYBRD,2025-07-03,13,46.65,52.51
SHELBY_2_HYBRD,2025-07-03,14,23.87,30.17
SHELBY_2_HYBRD,2025-07-03,15,40.3,41.44
SHELBY_2_HYBRD,2025-07-03,16,44.74,44.37
SHELBY_2_HYBRD,2025-07-03,17,42.36,39.8
SHELBY_2_HYBRD,2025-07-03,18,-14.11,29.25
SHELBY_2_HYBRD,2025-07-03,19,-31.73,37.24
SHELBY_2_HYBRD,2025-07-03,20,323.75,385.06
SHELBY_2_HYBRD,2025-07-03,21,33.84,35.72
SHELBY_2_HYBRD,2025-07-03,22,-6.94,1.62
SHELBY_2_HYBRD,2025-07-03,23,5.88,3.07
SHELBY_2_HYBRD,2025-07-03,24,6.71,-8.32
SHELBY_2_HYBRD,2025-07-04,1,11.98,3.06
SHELBY_2_HYBRD,2025-07-04,2,0.61,11.3
SHELBY_2_HYBRD,2025-07-04,3,-46.35,-32.72
SHELBY_2_HYBRD,2025-07-04,4,44.97,37.28
SHELBY_2_HYBRD,2025-07-04,5,30.62,39.06
SHELBY_2_HYBRD,2025-07-04,6,25.38,19.61
SHELBY_2_HYBRD,2025-07-04,7,31.68,17.76
SHELBY_2_HYBRD,2025-07-04,8,60.77,68.19
SHELBY_2_HYBRD,2025-07-04,9,58.19,42.33
SHELBY_2_HYBRD,2025-07-04,10,59.97,18.77
SHELBY_2_HYBRD,2025-07-04,11,-46.63,-56.69
SHELBY_2_HYBRD,2025-07-04,12,49.03,35.76
SHELBY_2_HYBRD,2025-07-04,13,59.75,68.56
SHELBY_2_HYBRD,2025-07-04,14,69.91,75.18
SHELBY_2_HYBRD,2025-07-04,15,51.0,35.04
SHELBY_2_HYBRD,2025-07-04,16,40.15,52.88
SHELBY_2_HYBRD,2025-07-04,17,42.15,53.66
SHELBY_2_HYBRD,2025-07-04,18,373.78,365.67
SHELBY_2_HYBRD,2025-07-04,19,30.97,40.96
SHELBY_2_HYBRD,2025-07-04,20,20.17,56.75
SHELBY_2_HYBRD,2025-07-04,21,-2.23,2.08
SHELBY_2_HYBRD,2025-07-04,22,13.16,15.84
SHELBY_2_HYBRD,2025-07-04,23,19.35,7.3
SHELBY_2_HYBRD,2025-07-04,24,20.17,41.89
SHELBY_2_HYBRD,2025-07-05,1,31.39,34.5
SHELBY_2_HYBRD,2025-07-05,2,-6.32,9.86
SHELBY_2_HYBRD,2025-07-05,3,2.88,-11.75
SHELBY_2_HYBRD,2025-07-05,4,21.65,42.43
SHELBY_2_HYBRD,2025-07-05,5,26.92,-9.4
SHELBY_2_HYBRD,2025-07-05,6,23.57,47.95
SHELBY_2_HYBRD,2025-07-05,7,66.73,45.14
SHELBY_2_HYBRD,2025-07-05,8,43.61,50.21
SHELBY_2_HYBRD,2025-07-05,9,45.36,55.67
SHELBY_2_HYBRD,2025-07-05,10,48.22,30.19
SHELBY_2_HYBRD,2025-07-05,11,74.74,84.78
SHELBY_2_HYBRD,2025-07-05,12,44.65,43.74
SHELBY_2_HYBRD,2025-07-05,13,55.54,33.75
SHELBY_2_HYBRD,2025-07-05,14,55.91,46.19
